experiment_name,task_family,dataset,molecule,encoder,prior,prior_weight,laplacian_mode,horizon,n,mean,std,stderr,median,min,max,ci95_low,ci95_high,pct_change_vs_none,pct_change_vs_euclidean,pct_change_vs_per_frame,h16_over_h1_mean,notes
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_frame0,1,5,0.054,0.013,0.006,0.055,0.034,0.067,0.044,0.063,,,46.7,2.7,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_frame0,16,5,0.146,0.089,0.040,0.103,0.093,0.303,0.098,0.227,,,31.2,2.7,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_frame0,2,5,0.055,0.013,0.006,0.053,0.037,0.073,0.045,0.065,,,43.3,2.7,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_frame0,4,5,0.063,0.016,0.007,0.062,0.043,0.084,0.051,0.075,,,38.9,2.7,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_frame0,8,5,0.082,0.029,0.013,0.069,0.057,0.130,0.064,0.106,,,34.7,2.7,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_mean,1,5,0.037,0.005,0.002,0.039,0.031,0.041,0.033,0.040,,,-1.2,3.6,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_mean,16,5,0.131,0.112,0.050,0.095,0.051,0.327,0.067,0.232,,,17.5,3.6,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_mean,2,5,0.038,0.005,0.002,0.040,0.031,0.043,0.034,0.042,,,-0.3,3.6,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_mean,4,5,0.046,0.007,0.003,0.047,0.037,0.056,0.040,0.052,,,2.2,3.6,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,fixed_mean,8,5,0.066,0.029,0.013,0.063,0.041,0.115,0.047,0.092,,,9.3,3.6,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,per_frame,1,5,0.037,0.005,0.002,0.039,0.031,0.041,0.033,0.040,,,0.0,3.0,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,per_frame,16,5,0.111,0.075,0.033,0.086,0.062,0.242,0.069,0.178,,,0.0,3.0,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,per_frame,2,5,0.039,0.004,0.002,0.039,0.033,0.044,0.035,0.042,,,0.0,3.0,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,per_frame,4,5,0.045,0.004,0.002,0.045,0.041,0.051,0.042,0.048,,,0.0,3.0,partial current Laplacian ablation if n < 5
rmd17_laplacian_ablation,rmd17,rmd17,aspirin,flat,spectral,0.1,per_frame,8,5,0.061,0.018,0.008,0.058,0.047,0.091,0.050,0.076,,,0.0,3.0,partial current Laplacian ablation if n < 5
