experiment_name,molecule,encoder,prior,prior_weight,laplacian_mode,horizon,n,mean,std,stderr,median,min,max,notes
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,euclidean,0.1,per_frame,1,5,0.006,0.005,0.002,0.004,0.002,0.015,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,euclidean,0.1,per_frame,2,5,0.012,0.011,0.005,0.008,0.005,0.031,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,euclidean,0.1,per_frame,4,5,0.024,0.021,0.009,0.016,0.009,0.060,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,euclidean,0.1,per_frame,8,5,0.049,0.041,0.018,0.036,0.019,0.119,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,euclidean,0.1,per_frame,16,5,0.115,0.080,0.036,0.106,0.042,0.245,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,none,0.1,per_frame,1,5,0.006,0.005,0.002,0.004,0.002,0.015,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,none,0.1,per_frame,2,5,0.012,0.011,0.005,0.008,0.005,0.031,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,none,0.1,per_frame,4,5,0.024,0.021,0.009,0.016,0.009,0.060,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,none,0.1,per_frame,8,5,0.049,0.041,0.018,0.036,0.019,0.119,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,none,0.1,per_frame,16,5,0.115,0.080,0.036,0.106,0.042,0.245,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,spectral,0.1,per_frame,1,5,0.001,0.001,0.000,0.001,0.000,0.002,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,spectral,0.1,per_frame,2,5,0.003,0.002,0.001,0.003,0.001,0.005,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,spectral,0.1,per_frame,4,5,0.006,0.003,0.001,0.006,0.002,0.010,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,spectral,0.1,per_frame,8,5,0.013,0.007,0.003,0.012,0.003,0.020,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,ethanol,flat,spectral,0.1,per_frame,16,5,0.031,0.016,0.007,0.033,0.008,0.051,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,malonaldehyde,flat,euclidean,0.1,per_frame,1,5,0.005,0.004,0.002,0.003,0.002,0.011,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,malonaldehyde,flat,euclidean,0.1,per_frame,2,5,0.009,0.007,0.003,0.006,0.005,0.022,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,malonaldehyde,flat,euclidean,0.1,per_frame,4,5,0.019,0.014,0.006,0.012,0.009,0.043,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,malonaldehyde,flat,euclidean,0.1,per_frame,8,5,0.039,0.026,0.012,0.025,0.019,0.081,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,malonaldehyde,flat,euclidean,0.1,per_frame,16,5,0.084,0.046,0.021,0.060,0.043,0.144,strict disjoint train/eval frame split; checkpointed run
rmd17_multimolecule_disjoint_checkpointed,malonaldehyde,flat,none,0.1,per_frame,1,5,0.004,0.004,0.002,0.003,0.001,0.011,strict disjoint train/eval frame split; checkpointed run
