experiment_name,task_family,dataset,molecule,encoder,prior,prior_weight,laplacian_mode,horizon,n,mean,std,stderr,median,min,max,ci95_low,ci95_high,pct_change_vs_none,pct_change_vs_euclidean,pct_change_vs_per_frame,h16_over_h1_mean,notes
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,euclidean,0.01,,1,10,0.007710161293,0.003792747611,0.001199372104,0.006437381264,0.003524931148,0.01454003341,0.005609016885,0.009982200168,128.3440436,0,,8.480209879,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,euclidean,0.01,,16,10,0.06538378596,0.0411988889,0.0130282326,0.05016138218,0.02075958811,0.1440101415,0.04289250582,0.09109127507,-11.59917572,0,,8.480209879,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,euclidean,0.01,,2,10,0.01258859839,0.007320672702,0.002314999974,0.01047655521,0.004932449665,0.02837943099,0.008744956135,0.01726202697,75.84979342,0,,8.480209879,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,euclidean,0.01,,4,10,0.01868459862,0.01241162363,0.003924900013,0.01462922711,0.005374092609,0.0482165888,0.01229736592,0.0268516207,19.7664364,0,,8.480209879,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,euclidean,0.01,,8,10,0.06067827791,0.05074083245,0.01604566009,0.04086039029,0.0125297159,0.1611736864,0.0333346269,0.09369224798,81.88409754,0,,8.480209879,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,none,0.0,,1,10,0.003376554593,0.001694730939,0.0005359209788,0.002909322619,0.001155871549,0.006368814968,0.002426556968,0.004402389588,0,-56.20643376,,21.90483438,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,none,0.0,,16,10,0.07396286912,0.04574169559,0.01446479421,0.06359705329,0.02387126163,0.1702914685,0.04906890377,0.1023319722,0,13.12111716,,21.90483438,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,none,0.0,,2,10,0.007158722309,0.003374268018,0.001067037237,0.006465930492,0.002324658213,0.01335984468,0.005244783455,0.009223732927,0,-43.13328549,,21.90483438,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,none,0.0,,4,10,0.0156008638,0.008753527227,0.00276810836,0.01304974593,0.006773271132,0.0344228968,0.01107271706,0.02111620528,0,-16.50415341,,21.90483438,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,none,0.0,,8,10,0.03336095829,0.01982113362,0.006267992804,0.02513693459,0.01353924349,0.06639696658,0.02222337675,0.04505920157,0,-45.01993228,,21.90483438,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,spectral,0.01,,1,10,0.006562171201,0.006397745773,0.002023144853,0.0037121122,0.002485054545,0.0198870264,0.003376040941,0.01079945966,94.34518295,-14.88931357,,2787.853146,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,spectral,0.01,,16,10,18.29436963,45.36049594,14.3442483,0.1304059513,0.03356193379,143.5640717,0.1110042197,50.16061419,24634.53213,27879.97907,,2787.853146,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,spectral,0.01,,2,10,0.0107319579,0.006508642193,0.002058213381,0.008183941711,0.004928857088,0.02441799454,0.007311980004,0.01493090591,49.91443215,-14.74858785,,2787.853146,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,spectral,0.01,,4,10,0.02016473375,0.01112298528,0.003517396787,0.01549161039,0.01205196884,0.0494197011,0.01491991138,0.02732245789,29.2539568,7.921685478,,2787.853146,canonical Wolfram 200-epoch resume output; partial if n < 10
wolfram_flat_10seed_200ep,wolfram,wolfram,,flat,spectral,0.01,,8,10,0.05855859239,0.04247670575,0.01343231377,0.04500439763,0.01794380136,0.1646683663,0.03738929864,0.08581397883,75.53030667,-3.493318526,,2787.853146,canonical Wolfram 200-epoch resume output; partial if n < 10
