run_name,prior,prior_weight,seed,checkpoint_available,artifact_available,H16_rollout,H32_rollout,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_true_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_2,R_low_prior_Delta_H_4,R_low_prior_Delta_H_8,R_low_perm_Delta_H_2,R_low_perm_Delta_H_4,R_low_perm_Delta_H_8,R_low_rand_Delta_H_2,R_low_rand_Delta_H_4,R_low_rand_Delta_H_8
lattice_gnn_graph_lambda0p1_seed0,graph,0.1,0,True,True,0.0054686991885925336,0.022319207588831585,4.4704589527100325e-05,2.8535053730010986,4.4704589527100325e-05,2.8535053730010986,5.215505734668113e-05,3.321735143661499,5.2673029131256044e-05,3.3426411151885986,0.001486620050854981,0.00020330258121248335,0.09738693471687536,0.17976093757897615,0.30504563574989635,0.09738693471687536,0.17976093757897615,0.30504563574989635,0.07297478197142482,0.10154281913613279,0.16712288993100324,0.0666427300311625,0.1073544902416567,0.17057507329930863
lattice_gnn_graph_lambda0p1_seed1,graph,0.1,1,True,True,0.006290510529652238,0.017796124564483762,4.846661977353506e-05,2.811852216720581,4.846661977353506e-05,2.811852216720581,5.824059553560801e-05,3.3749115467071533,5.84415793127846e-05,3.3871777057647705,0.0014469445450231433,0.00013547502749133855,0.09291962037483852,0.17817998801668486,0.3011065653214852,0.09291962037483852,0.17817998801668486,0.3011065653214852,0.06880892510525882,0.0982317569044729,0.15616089664399624,0.055784456354255475,0.10063872532919049,0.16513445818175873
lattice_gnn_graph_lambda0p1_seed2,graph,0.1,2,True,True,0.002546512861348068,0.007864285648489991,4.942867599311285e-05,2.837770462036133,4.942867599311285e-05,2.837770462036133,5.889745443710126e-05,3.366307258605957,5.93239237787202e-05,3.3916027545928955,0.0013630551984533668,0.00012452526425477117,0.10356944985687733,0.1784133023271958,0.30846089621384937,0.10356944985687733,0.1784133023271958,0.30846089621384937,0.0689137583443274,0.10128963676591714,0.15907276514917612,0.05691432564829787,0.09668902354314923,0.1570490232358376
lattice_gnn_graph_lambda0p1_seed3,graph,0.1,3,True,True,0.006685330590698868,0.017779423389583826,4.5746975956717506e-05,2.7457101345062256,4.5746975956717506e-05,2.7457101345062256,5.625015182886273e-05,3.3574378490448,5.5984350183280185e-05,3.346135139465332,0.0013232914498075843,7.351833482971415e-05,0.10963337154438098,0.19130307249724865,0.3322361533840497,0.10963337154438098,0.19130307249724865,0.3322361533840497,0.07865754530454676,0.11120435673122604,0.17133020889014006,0.05907560380486151,0.10721728919694822,0.16977528668940067
lattice_gnn_graph_lambda0p1_seed4,graph,0.1,4,True,True,0.007180270835912476,0.018773988587781787,6.106954970164225e-05,2.804128646850586,6.106954970164225e-05,2.804128646850586,7.290300709428266e-05,3.3397560119628906,7.265488238772377e-05,3.3237249851226807,0.0018851865315809846,0.0002450559404678643,0.11464895292495687,0.2053988492116332,0.32961302685240906,0.11464895292495687,0.2053988492116332,0.32961302685240906,0.0823761853389442,0.11089656688272953,0.1687348677466313,0.06928152986802161,0.1104082795791328,0.17019101356466612
lattice_gnn_permuted_graph_lambda0p1_seed0,permuted_graph,0.1,0,True,True,0.006697382816734414,0.02647247111114363,6.444091559387743e-05,3.332720994949341,6.609535194002092e-05,3.420944929122925,6.609535194002092e-05,3.420944929122925,6.582572677871212e-05,3.4070608615875244,0.002108597895130515,0.00032040418591350317,0.0686730007485797,0.1241412980792423,0.22040363090733686,0.054645150589446224,0.08245235277960698,0.14466977212578058,0.054645150589446224,0.08245235277960698,0.14466977212578058,0.04917333135381341,0.08568334594989817,0.14873891975730658
lattice_gnn_permuted_graph_lambda0p1_seed1,permuted_graph,0.1,1,True,True,0.007267132188038279,0.020827698443705838,7.510540308430791e-05,3.6096107959747314,7.153127808123827e-05,3.4408891201019287,7.153127808123827e-05,3.4408891201019287,7.165685383370146e-05,3.4411494731903076,0.0021899668499827385,0.00023214182874653488,0.055143611350407205,0.1096287729839484,0.19278559709588686,0.04361233813688159,0.07471346389502287,0.13671397355695566,0.04361233813688159,0.07471346389502287,0.13671397355695566,0.04540452244691551,0.081454466873159,0.1430412158370018
lattice_gnn_permuted_graph_lambda0p1_seed2,permuted_graph,0.1,2,True,True,0.0038191311759874225,0.010701156337745488,5.974002488073893e-05,3.5349228382110596,5.807340130559169e-05,3.419942617416382,5.807340130559169e-05,3.419942617416382,5.838757715537213e-05,3.4461939334869385,0.00180491351056844,0.0001730332151055336,0.06181792193092406,0.1212004014911751,0.21778548508882523,0.04971056819582979,0.08022581258167823,0.13903705216944218,0.04971056819582979,0.08022581258167823,0.13903705216944218,0.046768567292019725,0.08167996707682808,0.14299182003984848
lattice_gnn_permuted_graph_lambda0p1_seed3,permuted_graph,0.1,3,True,True,0.00804045656695962,0.02263651097503801,6.358230166370049e-05,3.4813032150268555,6.265556294238195e-05,3.4440343379974365,6.265556294238195e-05,3.4440343379974365,6.210059655131772e-05,3.4094598293304443,0.002057362115010619,0.0001812893751775846,0.07283585192635655,0.13364870163301626,0.21883035451173782,0.05320535677795609,0.08783675776794553,0.1514502903446555,0.05320535677795609,0.08783675776794553,0.1514502903446555,0.044655536844705544,0.08529370184987783,0.15622769327213368
lattice_gnn_permuted_graph_lambda0p1_seed4,permuted_graph,0.1,4,True,True,0.007348270097281784,0.018227493002389867,7.14198176865466e-05,3.5958261489868164,6.762098200852051e-05,3.4147424697875977,6.762098200852051e-05,3.4147424697875977,6.765974103473127e-05,3.408895492553711,0.0024417289532721043,0.0003097540757153183,0.061708374336982764,0.119327236743023,0.20704204651216665,0.05238716544893881,0.08453969409068425,0.14985369270046553,0.05238716544893881,0.08453969409068425,0.14985369270046553,0.05244901690942546,0.09011355771993597,0.1517039838557442
lattice_gnn_random_graph_lambda0p1_seed0,random_graph,0.1,0,True,True,0.0067918534817484515,0.02752458001486957,7.292094960575923e-05,3.3796327114105225,7.360165909631178e-05,3.414523124694824,7.411895785480738e-05,3.4374582767486572,7.360165909631178e-05,3.414523124694824,0.0023459778167307377,0.0003547568048816174,0.06732467709419628,0.1194452637185653,0.2084364810337623,0.04897868726402521,0.08334731341650088,0.1431631545225779,0.05154061783105135,0.07941189672177036,0.13902143513162932,0.04897868726402521,0.08334731341650088,0.1431631545225779
lattice_gnn_random_graph_lambda0p1_seed1,random_graph,0.1,1,True,True,0.0073277468521458404,0.020491347337762516,7.648592873010784e-05,3.5865108966827393,7.352031389018521e-05,3.425306558609009,7.366212230408564e-05,3.441964864730835,7.352031389018521e-05,3.425306558609009,0.002311789197847247,0.00024242141807917506,0.05477751325815916,0.11290138401091099,0.1975257998953263,0.04845014734504124,0.08303299096102516,0.14636055224885544,0.0455556723754853,0.0770760690793395,0.13661267949889103,0.04845014734504124,0.08303299096102516,0.14636055224885544
lattice_gnn_random_graph_lambda0p1_seed2,random_graph,0.1,2,True,True,0.0038370403247730187,0.010783646760197977,5.8887177146971226e-05,3.531200647354126,5.7561574067221954e-05,3.445341110229492,5.728270116378553e-05,3.4210045337677,5.7561574067221954e-05,3.445341110229492,0.001786301494576037,0.000170515151694417,0.06402346817776561,0.1240728364015619,0.2208872257421414,0.0455336500890553,0.07959831009308498,0.14217260417838892,0.04984537170579036,0.08040314974884193,0.1383729906131824,0.0455336500890553,0.07959831009308498,0.14217260417838892
lattice_gnn_random_graph_lambda0p1_seed3,random_graph,0.1,3,True,True,0.008072501552912096,0.022643267099435132,6.395558011718094e-05,3.511744260787964,6.126134394435212e-05,3.3990707397460938,6.255818152567372e-05,3.447862386703491,6.126134394435212e-05,3.3990707397460938,0.0020203411113470793,0.00017504477000329643,0.07228744061042865,0.13272652278343836,0.22193083415428796,0.04208901811701556,0.08163774246349931,0.15381261271735033,0.05525625489341716,0.08673297349984448,0.150154709815979,0.04208901811701556,0.08163774246349931,0.15381261271735033
lattice_gnn_random_graph_lambda0p1_seed4,random_graph,0.1,4,True,True,0.007275942266763498,0.01791532834370931,7.659728726139292e-05,3.6096136569976807,7.260808342834935e-05,3.4324753284454346,7.213700155261904e-05,3.413386344909668,7.260808342834935e-05,3.4324753284454346,0.0025259952526539564,0.00032572844065725803,0.06012339727021754,0.11447330921267469,0.20076863281428814,0.04962987592443824,0.08767118661974867,0.1476638869692882,0.0512373986809204,0.08316232512394588,0.14690778808047375,0.04962987592443824,0.08767118661974867,0.1476638869692882
