source,domain,item,molecule,topology,prior_weight,horizon,control,graph_mean,control_mean,delta_control_minus_graph,std_delta,pct_graph_lower_than_control,graph_wins,n_pairs,bootstrap_ci_low,bootstrap_ci_high,classification,scale_matched_control,notes
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,0.100000,32,permuted_graph,0.032962,0.035008,0.002046,0.007071,5.8444,3,5,-0.003335,0.007719,suggestive_or_unstable,yes,permuted control is Laplacian-spectrum matched to true graph
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,0.100000,32,random_graph,0.032962,0.033574,0.000613,0.004710,1.8253,3,5,-0.002929,0.004233,suggestive_or_unstable,no,random control matches broad graph size/edge count but not full spectrum
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,0.100000,32,permuted_graph,0.030592,0.031690,0.001098,0.009360,3.4661,1,3,-0.005099,0.011865,equivalent_or_ambiguous,yes,permuted control is Laplacian-spectrum matched to true graph
cycle2_rmd17_multimolecule,rMD17,aspirin,aspirin,,0.100000,32,random_graph,0.030592,0.030524,-0.000068,0.006423,-0.223203,1,3,-0.003866,0.007348,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,0.100000,32,permuted_graph,0.044914,0.038790,-0.006124,0.004590,-15.7863,0,3,-0.011424,-0.003451,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle2_rmd17_multimolecule,rMD17,ethanol,ethanol,,0.100000,32,random_graph,0.044914,0.040031,-0.004883,0.002933,-12.1985,0,3,-0.007879,-0.002017,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,0.100000,32,permuted_graph,0.034568,0.030810,-0.003758,0.006877,-12.1980,1,3,-0.010568,0.003183,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle2_rmd17_multimolecule,rMD17,malonaldehyde,malonaldehyde,,0.100000,32,random_graph,0.034568,0.030485,-0.004083,0.006126,-13.3935,1,3,-0.009812,0.002375,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,0.100000,32,permuted_graph,0.021018,0.022249,0.001231,0.002308,5.5339,2,3,-0.001350,0.003093,suggestive_or_unstable,yes,permuted control is Laplacian-spectrum matched to true graph
cycle2_rmd17_multimolecule,rMD17,naphthalene,naphthalene,,0.100000,32,random_graph,0.021018,0.023353,0.002335,0.002364,9.9978,2,3,-0.000393,0.003799,suggestive_or_unstable,no,random control matches broad graph size/edge count but not full spectrum
cycle2_rmd17_multimolecule,rMD17,toluene,toluene,,0.100000,32,permuted_graph,0.032312,0.028806,-0.003506,0.009249,-12.1704,2,3,-0.014134,0.002716,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle2_rmd17_multimolecule,rMD17,toluene,toluene,,0.100000,32,random_graph,0.032312,0.029295,-0.003017,0.007691,-10.2998,1,3,-0.011747,0.002757,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle3_ho_networks,HO,lattice,,lattice,0.100000,32,permuted_graph,0.016907,0.019773,0.002866,0.002079,14.4968,4,5,0.001070,0.004210,specificity_supported,yes,permuted control is Laplacian-spectrum matched to true graph; lambda implicit 0.1
cycle3_ho_networks,HO,lattice,,lattice,0.100000,32,random_graph,0.016907,0.019872,0.002965,0.002415,14.9209,4,5,0.000997,0.004635,specificity_supported,no,random control matches broad graph size/edge count but not full spectrum; lambda implicit 0.1
cycle3_ho_networks,HO,random,,random,0.100000,32,permuted_graph,0.017234,0.018687,0.001453,0.006374,7.7739,4,5,-0.003963,0.005580,suggestive_or_unstable,yes,permuted control is Laplacian-spectrum matched to true graph; lambda implicit 0.1
cycle3_ho_networks,HO,random,,random,0.100000,32,random_graph,0.017234,0.018572,0.001337,0.005311,7.2017,4,5,-0.003403,0.004741,suggestive_or_unstable,no,random control matches broad graph size/edge count but not full spectrum; lambda implicit 0.1
cycle3_ho_networks,HO,scalefree,,scalefree,0.100000,32,permuted_graph,0.016732,0.015724,-0.001008,0.008397,-6.4079,2,5,-0.007526,0.005511,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph; lambda implicit 0.1
cycle3_ho_networks,HO,scalefree,,scalefree,0.100000,32,random_graph,0.016732,0.015813,-0.000919,0.008579,-5.8091,2,5,-0.007508,0.005863,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum; lambda implicit 0.1
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.001000,32,permuted_graph,0.038075,0.028496,-0.009579,0.018783,-33.6142,1,3,-0.028331,0.009235,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.001000,32,random_graph,0.038075,0.030138,-0.007938,0.018714,-26.3382,1,3,-0.027958,0.009116,control_better_or_equivalent,no,random control matches broad graph size/edge count but not full spectrum
cycle4_ho_lambda_robustness,HO,lattice,,lattice,0.005000,32,permuted_graph,0.021947,0.017117,-0.004830,0.010217,-28.2176,1,3,-0.010789,0.006967,control_better_or_equivalent,yes,permuted control is Laplacian-spectrum matched to true graph
