source,domain,item,molecule,topology,encoder,prior,prior_weight,horizon,mean_rollout_error,std_rollout_error,n,baseline,baseline_mean_rollout_error,pct_gain_vs_baseline,notes
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,covariance,0.100000,1,0.010894,0.002577,5,gnn_node:none,0.009291,-17.2567,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,covariance,0.100000,2,0.010511,0.001748,5,gnn_node:none,0.009216,-14.0522,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,covariance,0.100000,4,0.011569,0.002196,5,gnn_node:none,0.009987,-15.8371,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,covariance,0.100000,8,0.016826,0.003961,5,gnn_node:none,0.014572,-15.4698,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,covariance,0.100000,16,0.034385,0.005638,5,gnn_node:none,0.029925,-14.9024,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,covariance,0.100000,32,0.119189,0.020733,5,gnn_node:none,0.100806,-18.2359,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,1,0.003253,0.000548,5,gnn_node:none,0.009291,64.9898,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,2,0.003361,0.000349,5,gnn_node:none,0.009216,63.5269,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,4,0.003955,0.000766,5,gnn_node:none,0.009987,60.4013,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,8,0.005470,0.000912,5,gnn_node:none,0.014572,62.4649,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,16,0.010606,0.002667,5,gnn_node:none,0.029925,64.5593,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,graph,0.100000,32,0.032962,0.015665,5,gnn_node:none,0.100806,67.3020,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,1,0.009291,0.001965,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,2,0.009216,0.001208,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,4,0.009987,0.001667,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,8,0.014572,0.003414,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,16,0.029925,0.005550,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,none,0.100000,32,0.100806,0.022203,5,,,,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,1,0.003440,0.000409,5,gnn_node:none,0.009291,62.9770,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,2,0.003586,0.000382,5,gnn_node:none,0.009216,61.0934,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,4,0.004244,0.000823,5,gnn_node:none,0.009987,57.5035,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,8,0.005890,0.000928,5,gnn_node:none,0.014572,59.5804,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,16,0.011373,0.002354,5,gnn_node:none,0.029925,61.9960,
cycle1_aspirin_pilot,rMD17,aspirin,aspirin,,gnn_node,permuted_graph,0.100000,32,0.035008,0.016039,5,gnn_node:none,0.100806,65.2724,
