stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8,n_eval_transitions,tau,noise,H1_mse,H16_mse,H32_mse,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,graph_D_true_Delta_H_norm,permuted_D_true_Delta_H_norm,graph_R_low_true_Delta_H_4,permuted_R_low_true_Delta_H_4,metadata_dataset,metadata_domain,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_tau,metadata_noise,metadata_seed
stage0_raw,graph_heat_lattice,true_graph,lambda_max,1,64,0.6146241852951019,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.031197501894836797,0.08774611747554661,0.19716967987335204,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_heat_lattice,permuted_graph,lambda_max,8,64,0.463774392921998,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.027988814041154792,0.08556733212482408,0.19765024804116493,-0.15084979237310386,0.0032086878536820053,0.002178785350722537,-0.00048056816781288925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_heat_lattice,random_graph,lambda_max,8,64,0.383010785642395,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.03869062266553025,0.08574083535003169,0.20220453286603451,-0.2316133996527069,-0.0074931207706934524,0.002005282125514929,-0.00503485299268247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_none_lambda0p1_seed0,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.022525721788406373,graph,0.0,0,00936408254e33a29a889b6cadbddc3a07f3a0797e65e38f93f828b45a1a01a8,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_none_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.0086127242177776, 'covariance_condition_number': 194716585.93957707, 'projection_gaussianity_statistic': 231.646122863544, 'rollout_errors': {'16': 0.20874799089506269, '32': 0.6036064606159925}, 'final_train_loss': 0.00021916039016408226, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.00180349478420491, 'final_transition_loss': 0.00021916039016408226}",0.20874799089506269,0.6036064606159925,0.00021916039016408226,0.0,2.941603183746338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,gnn_node,graph,0.09999999999955606,graph,True,graph,0.1,0.09999999999955606,0.22525720298290253,0.022525720298290253,graph,0.001618013127389321,0,92a1d69ae934ec07b701cc09f8779efd4e4151672542bd77365d2102dbf4f4b4,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999955606, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1247271118119158, 'covariance_condition_number': 7095127.469038614, 'projection_gaussianity_statistic': 220.80420904601652, 'rollout_errors': {'16': 0.22693680366501212, '32': 0.6901804655790329}, 'final_train_loss': 0.0009672645440635582, 'prior_loss_mean': 0.016180131273965042, 'transition_loss_mean': 0.0017999735340708868, 'final_transition_loss': 0.0002145668986486271}",0.22693680366501212,0.6901804655790329,0.0009672645440635582,0.016180131273965042,13.048887968063354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,gnn_node,permuted_graph,0.03585877227368339,permuted_graph,True,graph,0.1,0.03585877227368339,0.6281788349151611,0.022525721788406373,graph,0.0013792064098918652,0,6d3467cd0aaa9b6d710cbe949f6136a107216e516277bdc5024df6aa1a8ba2c3,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.03585877227368339, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.078728857219493, 'covariance_condition_number': 7611150.816774736, 'projection_gaussianity_statistic': 239.96400633248598, 'rollout_errors': {'16': 0.22627647640183568, '32': 0.6827811729162931}, 'final_train_loss': 0.000901868799701333, 'prior_loss_mean': 0.038462175987660885, 'transition_loss_mean': 0.0017959880002308636, 'final_transition_loss': 0.00022358128141301373}",0.22627647640183568,0.6827811729162931,0.000901868799701333,0.038462175987660885,15.371925115585327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_temporal_smooth_lambda0p1_seed0,ok,lattice,gnn_node,temporal_smooth,3612.6807242920277,temporal_smooth,False,temporal,0.1,3612.6807242920277,6.2351809901883826e-06,0.022525721788406373,graph,0.002348800731624259,0,f5d9e31c2937fa2296d3934d813aafc7574f12772c538680d0e64add84937a02,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 3612.6807242920277, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.735289814544507, 'covariance_condition_number': 434072.49617665616, 'projection_gaussianity_statistic': 38.222217305803454, 'rollout_errors': {'16': 0.21589585859328508, '32': 0.6432140991091728}, 'final_train_loss': 0.0014228940126486123, 'prior_loss_mean': 6.501545281404711e-07, 'transition_loss_mean': 0.001801967661594972, 'final_transition_loss': 0.00021201360505074263}",0.21589585859328508,0.6432140991091728,0.0014228940126486123,6.501545281404711e-07,3.319683790206909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_none_lambda0p1_seed1,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.015860505402088165,graph,0.0,1,03af168e021b0a0889b4148c1a52b07484630cb1f44b726f1f42369e12dcaad4,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_none_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.02429353060062, 'covariance_condition_number': 126853195.13468772, 'projection_gaussianity_statistic': 252.04109966245824, 'rollout_errors': {'16': 0.39793863613158464, '32': 1.5242547690868378}, 'final_train_loss': 0.00041253728947291773, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0021768821364579103, 'final_transition_loss': 0.00041253728947291773}",0.39793863613158464,1.5242547690868378,0.00041253728947291773,0.0,2.87284255027771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_graph_lambda0p1_seed1,ok,lattice,gnn_node,graph,0.09999999999936951,graph,True,graph,0.1,0.09999999999936951,0.15860506892204285,0.015860506892204286,graph,0.001384139715995605,1,d5fe3722eaf6c51ea0a5b928f1527c874c830a61e987403746a5dc81c4952ef3,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999936951, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.6689331862962624, 'covariance_condition_number': 2679066.616683153, 'projection_gaussianity_statistic': 132.85082557125762, 'rollout_errors': {'16': 0.33439325727522373, '32': 1.349914774298668}, 'final_train_loss': 0.0010989150614477694, 'prior_loss_mean': 0.013841397160043319, 'transition_loss_mean': 0.002179629274178296, 'final_transition_loss': 0.0003122282020437221}",0.33439325727522373,1.349914774298668,0.0010989150614477694,0.013841397160043319,14.867655515670776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_heat_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_heat_lattice_gnn_permuted_graph_lambda0p1_seed1,ok,lattice,gnn_node,permuted_graph,0.03415383948934223,permuted_graph,True,graph,0.1,0.03415383948934223,0.4643842577934265,0.015860505402088165,graph,0.0010211758002169604,1,39f35d42f28e8b3d64efc965943f0182f374d9800fcf7f92d7a21fa17d637ee5,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_heat_lattice_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.03415383948934223, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.5123229802853402, 'covariance_condition_number': 1623790.672169325, 'projection_gaussianity_statistic': 137.7415825436279, 'rollout_errors': {'16': 0.3635341404005885, '32': 1.4590652994811535}, 'final_train_loss': 0.0008678817636488626, 'prior_loss_mean': 0.029899297282099724, 'transition_loss_mean': 0.0021933269512373955, 'final_transition_loss': 0.00032738575828261673}",0.3635341404005885,1.4590652994811535,0.0008678817636488626,0.029899297282099724,14.64354157447815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
