stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,analysis_epochs,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8
stage0_raw,graph_lowfreq_lattice,true_graph,lambda_max,1,64,0.07892230527080078,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.2527543099912605,0.7100866420080212,0.9999999999999634,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_lowfreq_lattice,permuted_graph,lambda_max,8,64,0.4599543850178645,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.0260333232686055,0.07836287743529022,0.2099446059092835,0.3810320797470637,0.22672098672265498,0.6317237645727309,0.7900553940906798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_lowfreq_lattice,random_graph,lambda_max,8,64,0.3762782976227973,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.033493467149541115,0.07558001620765284,0.19511119916848174,0.2973559923519965,0.21926084284171937,0.6345066258003683,0.8048888008314816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_training_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_none_lambda0p1_seed0_epochs20,ok,lattice,gnn_node,none,0.1,0,eb1511ec517d4389a588cdf6069acfc1849f39f37a2bf8586c8de3c3d4367418,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_none_lambda0p1_seed0_epochs20', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.0262254003594637, 'covariance_condition_number': 2123867.4305994846, 'projection_gaussianity_statistic': 75.16445945568206, 'rollout_errors': {'16': 0.03634476428851485, '32': 0.09385413862764835}, 'final_train_loss': 3.792306794518178e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0004831116209781309, 'final_transition_loss': 3.792306794518178e-06}",0.03634476428851485,0.09385413862764835,3.792306794518178e-06,0.0,2.3849117755889893,20,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_training_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0_epochs20,ok,lattice,gnn_node,graph,0.1,0,feef521dba09ce9f540b1fdc2dfe8f3feac9e16e64a4d406291f838ba4caa0d3,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0_epochs20', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.4218078602192226, 'covariance_condition_number': 66370.47315693827, 'projection_gaussianity_statistic': 6.2117933507639576, 'rollout_errors': {'16': 0.018701066845096648, '32': 0.05802759900689125}, 'final_train_loss': 2.317366791733851e-05, 'prior_loss_mean': 0.0012029041419737041, 'transition_loss_mean': 0.0004846672945215384, 'final_transition_loss': 1.929495435130472e-06}",0.018701066845096648,0.05802759900689125,2.317366791733851e-05,0.0012029041419737041,3.7347729206085205,20,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_training_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_permuted_graph_lambda0p1_seed0_epochs20,ok,lattice,gnn_node,permuted_graph,0.1,0,64d8a00404d00c81ff75dac8f528ffdde05e01f828f8bc5e61b1e71921775eae,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_permuted_graph_lambda0p1_seed0_epochs20', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.498030695360045, 'covariance_condition_number': 32347.878339412957, 'projection_gaussianity_statistic': 6.602719297072426, 'rollout_errors': {'16': 0.020965135656297207, '32': 0.0780171153601259}, 'final_train_loss': 3.084200216108002e-05, 'prior_loss_mean': 0.0021996411687723594, 'transition_loss_mean': 0.00048245140615108537, 'final_transition_loss': 1.6879231073592866e-06}",0.020965135656297207,0.0780171153601259,3.084200216108002e-05,0.0021996411687723594,3.9594528675079346,20,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_training_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_none_lambda0p1_seed0_epochs50,ok,lattice,gnn_node,none,0.1,0,aab4a6f7c1a8de68e159d50fb418a53e3d551484019bd7723db6b6fefaf582f2,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_none_lambda0p1_seed0_epochs50', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 50, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.0810654356310783, 'covariance_condition_number': 234857.0138350694, 'projection_gaussianity_statistic': 26.06403664812741, 'rollout_errors': {'16': 0.009235566103598103, '32': 0.027745060331653804}, 'final_train_loss': 3.200157152605243e-07, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.00019389164826331276, 'final_transition_loss': 3.200157152605243e-07}",0.009235566103598103,0.027745060331653804,3.200157152605243e-07,0.0,5.490922689437866,50,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_training_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0_epochs50,ok,lattice,gnn_node,graph,0.1,0,b2c685c771f71053dd835134da17aa61e179038e7d85c8f30c4306083200e8c1,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0_epochs50', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 50, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.6783661491889965, 'covariance_condition_number': 8071.0939049353965, 'projection_gaussianity_statistic': 7.4147298242766295, 'rollout_errors': {'16': 0.0014385304384632036, '32': 0.0038448557097581215}, 'final_train_loss': 6.869759090477601e-06, 'prior_loss_mean': 0.0005495075865959128, 'transition_loss_mean': 0.00019396805186253492, 'final_transition_loss': 5.920295365058337e-09}",0.0014385304384632036,0.0038448557097581215,6.869759090477601e-06,0.0005495075865959128,9.285076379776001,50,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_training_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_permuted_graph_lambda0p1_seed0_epochs50,ok,lattice,gnn_node,permuted_graph,0.1,0,017c3f914e84c29941b93830d2097ef3af8791ba25b922152b7e88a3cbf781da,b013990b8c51de0a14c261953725d0dc3925a56e,"{'run_name': 'preflight_graph_lowfreq_lattice_gnn_permuted_graph_lambda0p1_seed0_epochs50', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 50, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.7914060902947742, 'covariance_condition_number': 10353.82000545918, 'projection_gaussianity_statistic': 8.68119655152778, 'rollout_errors': {'16': 0.0005623151646432234, '32': 0.0021315900776244234}, 'final_train_loss': 8.236602904313864e-06, 'prior_loss_mean': 0.0009630645581031179, 'transition_loss_mean': 0.00019307537305308134, 'final_transition_loss': 2.4433668421863786e-09}",0.0005623151646432234,0.0021315900776244234,8.236602904313864e-06,0.0009630645581031179,9.732934951782227,50,,,,,,,,,,,,,,,,,,,,,,,
graph_lowfreq_latent_analysis,graph_lowfreq_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0_epochs20,ok,lattice,,graph,0.1,0,,,,,,,,,,20,analysis_out/preflight_runs/graph_lowfreq_lattice/artifacts/preflight_graph_lowfreq_lattice_gnn_graph_lambda0p1_seed0_epochs20_latents.pt,8.821063602226786e-06,0.5386751890182495,8.821063602226786e-06,0.5386751890182495,2.9778822863590904e-05,3.279055118560791,3.058552465518005e-05,3.3595972061157227,0.0003669190627988428,1.1168914170411881e-05,0.2982866297243163,0.2982866297243163,0.07272080672555603,0.07317501668876503,0.7810665667057037,0.7810665667057037,0.1259893993847072,0.1250536177540198,0.9724813625216484,0.9724813625216484,0.24483203166164458,0.22001061728224158
