stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,metadata_dataset,metadata_domain,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_trajectory_shape,metadata_c,metadata_damping,metadata_dt,metadata_noise,metadata_seed
stage0_raw,graph_wave_lattice,true_graph,lambda_max,1,64,0.577166991267843,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.00013326313090601807,0.001787408356327952,0.008887725445400799,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_wave_lattice,permuted_graph,lambda_max,8,64,0.46498559331148576,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.024894338349804777,0.07543066272791676,0.19547947264550303,-0.11218139795635723,-0.02476107521889876,-0.0736432543715888,-0.18659174720010224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,graph_wave_lattice,random_graph,lambda_max,8,64,0.38749799057686996,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.03515908398412478,0.10286358098544593,0.20555457021127096,-0.18966900069097303,-0.035025820853218766,-0.10107617262911797,-0.19666684476587015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_none_lambda0p1_seed0,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.04596711099147797,graph,0.0,0,11c88bf59914773991592ffabaf3cb44284ddf845b4f96cc9ddcd87507b71bb8,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_none_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.2174343924515194, 'covariance_condition_number': 556803.3371631886, 'projection_gaussianity_statistic': 2.126506994344551, 'rollout_errors': {'16': 0.2302680965512991, '32': 0.6824959926307201}, 'final_train_loss': 0.00023270610836334527, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0018068174501725783, 'final_transition_loss': 0.00023270610836334527}",0.2302680965512991,0.6824959926307201,0.00023270610836334527,0.0,2.8675696849823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,gnn_node,graph,0.09999999999978247,graph,True,graph,0.1,0.09999999999978247,0.4596710801124573,0.04596710801124573,graph,0.008263822868448402,0,6a214cea55bed3f0fab8ba4a31f9fdff1338ee9873e8de86a3b606461637e371,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999978247, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.1861417769616556, 'covariance_condition_number': 10806.3806102476, 'projection_gaussianity_statistic': 4.837347107488734, 'rollout_errors': {'16': 0.19333992479369044, '32': 0.5712462719529867}, 'final_train_loss': 0.002564210987960299, 'prior_loss_mean': 0.08263822868466378, 'transition_loss_mean': 0.00176023626991082, 'final_transition_loss': 0.0002141693306233113}",0.19333992479369044,0.5712462719529867,0.002564210987960299,0.08263822868466378,13.899236917495728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,gnn_node,permuted_graph,0.11481288494551582,permuted_graph,True,graph,0.1,0.11481288494551582,0.40036541223526,0.04596710801124573,graph,0.007953067566444242,0,ab22aeafa980588418c1e9e6a2367e24eebe7fb4ccae61e0bce53ae417ea2800,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.11481288494551582, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.4664993796385914, 'covariance_condition_number': 2417.477540551895, 'projection_gaussianity_statistic': 6.898316616210749, 'rollout_errors': {'16': 0.19382027769461274, '32': 0.5711139384657145}, 'final_train_loss': 0.00251501752063632, 'prior_loss_mean': 0.0692698173224926, 'transition_loss_mean': 0.0017624487440722684, 'final_transition_loss': 0.00021305476548150182}",0.19382027769461274,0.5711139384657145,0.00251501752063632,0.0692698173224926,12.88937783241272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_temporal_smooth_lambda0p1_seed0,ok,lattice,gnn_node,temporal_smooth,16536.14533159326,temporal_smooth,False,temporal,0.1,16536.14533159326,2.7797948405350326e-06,0.04596710801124573,graph,0.00950357329980294,0,f0528bf7ec47a47b8811a3ea2dc1bebada794f4c7f1df682f840b5e086149d2b,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 16536.14533159326, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.509922868074734, 'covariance_condition_number': 25413.17852483224, 'projection_gaussianity_statistic': 5.828810649724006, 'rollout_errors': {'16': 0.1950654061511159, '32': 0.5662529729306698}, 'final_train_loss': 0.0037607477667431035, 'prior_loss_mean': 5.747151533341821e-07, 'transition_loss_mean': 0.0017706401093164458, 'final_transition_loss': 0.00021524536714423448}",0.1950654061511159,0.5662529729306698,0.0037607477667431035,5.747151533341821e-07,2.8836803436279297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_none_lambda0p1_seed1,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.01432739794254303,graph,0.0,1,2c9f228bd22eb1121ed5647882506e88d01c1675d447eab97aaecdde58df1dd8,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_none_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.3731679510862558, 'covariance_condition_number': 237641.75633649965, 'projection_gaussianity_statistic': 2.469316456614786, 'rollout_errors': {'16': 0.41012836154550314, '32': 1.61801478266716}, 'final_train_loss': 0.00042773948128645617, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0022049827772813537, 'final_transition_loss': 0.00042773948128645617}",0.41012836154550314,1.61801478266716,0.00042773948128645617,0.0,2.5384135246276855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed1,ok,lattice,gnn_node,graph,0.09999999999930204,graph,True,graph,0.1,0.09999999999930204,0.1432739794254303,0.01432739794254303,graph,0.003072780587999434,1,1f9005666ae4a9638c9cfc78aa6038f05b1f158629594e90fef84ae2f7e41299,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999930204, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.8668312084763086, 'covariance_condition_number': 20206.62135522267, 'projection_gaussianity_statistic': 6.396373038303709, 'rollout_errors': {'16': 0.26386611722409725, '32': 0.8519547302275896}, 'final_train_loss': 0.0015430330531671643, 'prior_loss_mean': 0.03072780588020881, 'transition_loss_mean': 0.0022055930360996476, 'final_transition_loss': 0.0002930264357322206}",0.26386611722409725,0.8519547302275896,0.0015430330531671643,0.03072780588020881,14.59645390510559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,graph_wave_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed1,ok,lattice,gnn_node,permuted_graph,0.10586672949989655,permuted_graph,True,graph,0.1,0.10586672949989655,0.13533428311347961,0.01432739794254303,graph,0.0031586940617953333,1,579240138e5c529ae00c7e7ed746856c6d0323cbef6163c3a6eeee8e6d13f050,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_graph_wave_lattice_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.10586672949989655, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.9360099720548627, 'covariance_condition_number': 4562.205028225981, 'projection_gaussianity_statistic': 7.581581865373829, 'rollout_errors': {'16': 0.26473850943148136, '32': 0.8401465434581041}, 'final_train_loss': 0.0015870398298526804, 'prior_loss_mean': 0.029836513102054596, 'transition_loss_mean': 0.002205720163571338, 'final_transition_loss': 0.0002931799196327726}",0.26473850943148136,0.8401465434581041,0.0015870398298526804,0.029836513102054596,13.115280151367188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
