stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8,created_at,classification,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,graph_D_true_Delta_H_norm,permuted_D_true_Delta_H_norm,graph_R_low_true_Delta_H_4,permuted_R_low_true_Delta_H_4,metadata_dataset,metadata_domain,metadata_topology,metadata_graph_source,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_position_dim,metadata_trajectory_shape,metadata_G,metadata_dt,metadata_softening,metadata_damping,metadata_noise,metadata_graph_k,metadata_sigma,metadata_seed
stage0_raw,nbody_distance,true_graph,lambda_max,1,64,0.5842791614523433,16.522491977142614,3.3273670031994826,1.0000000000000009,0.013862410722657975,0.02802187285229898,0.04557919844370123,0.11776661431127322,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,nbody_distance,permuted_graph,lambda_max,8,64,0.46281646804609067,16.522491977142614,3.3273670031994826,1.0000000000000009,0.013862410722657975,0.036892990465649304,0.09593404499979663,0.21533233119382697,-0.1214626934062526,-0.008871117613350323,-0.0503548465560954,-0.09756571688255375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,nbody_distance,random_graph,lambda_max,8,64,0.5935402052565083,20.69976411279096,3.715197375546385,1.0000000000000002,0.2170445362967289,0.019290870176830503,0.0820163731635461,0.19771960807870037,0.009261043804165037,0.008731002675468478,-0.03643717471984487,-0.07995299376742715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed0,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.05898077487945557,graph,0.0,0,62c75950dc797364b4fa6001c35c78a613b325d389b734345c5ce51c4b2955fb,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1001846084086424, 'covariance_condition_number': 597370.0386469094, 'projection_gaussianity_statistic': 1.9280243764479166, 'rollout_errors': {'16': 0.33287155628204346, '32': 0.8215762451291084}, 'final_train_loss': 0.0002664829371497035, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0018336706367942195, 'final_transition_loss': 0.0002664829371497035}",0.33287155628204346,0.8215762451291084,0.0002664829371497035,0.0,3.388796091079712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,graph,0.09999999999983046,graph,True,graph,0.1,0.09999999999983046,0.5898078083992004,0.05898078083992005,graph,0.03115080739055756,0,deca32fea24f2d096204485248eab92d4ea49e5117d164bd81a19a140934cc05,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999983046, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.7513016056674577, 'covariance_condition_number': 7382.8284897509775, 'projection_gaussianity_statistic': 3.4443064858136028, 'rollout_errors': {'16': 0.19129445729777217, '32': 0.5432637073099613}, 'final_train_loss': 0.008954166589925686, 'prior_loss_mean': 0.31150807390610374, 'transition_loss_mean': 0.0017802158360912775, 'final_transition_loss': 0.00022843511639318118}",0.19129445729777217,0.5432637073099613,0.008954166589925686,0.31150807390610374,40.16616129875183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,permuted_graph,0.0325791414382808,permuted_graph,True,graph,0.1,0.0325791414382808,1.810384750366211,0.05898078083992005,graph,0.02473929443123871,0,5080e11f35d77b6f8351c23d50fc07e68de950c9213cc00b53efcdfd1ebe5aa7,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.0325791414382808, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.050654861760593, 'covariance_condition_number': 10069.737847003365, 'projection_gaussianity_statistic': 2.843388739864883, 'rollout_errors': {'16': 0.20101987523958087, '32': 0.5837624054402113}, 'final_train_loss': 0.0069850897416472435, 'prior_loss_mean': 0.7593599259853363, 'transition_loss_mean': 0.001764652239702021, 'final_transition_loss': 0.00022162748306679228}",0.20101987523958087,0.5837624054402113,0.0069850897416472435,0.7593599259853363,41.701767921447754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0,ok,distance_knn,gnn_node,temporal_smooth,13068.37891141084,temporal_smooth,False,temporal,0.1,13068.37891141084,4.5132428567740135e-06,0.05898078083992005,graph,0.02618295325478908,0,d8ff12de0e41b97c80e8615ecf215eb8c82b7ba1542f18808371f29229e0a96b,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 13068.37891141084, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.868497595045662, 'covariance_condition_number': 16477.500980073954, 'projection_gaussianity_statistic': 3.230375255846151, 'rollout_errors': {'16': 0.2176387794315815, '32': 0.6453206390142441}, 'final_train_loss': 0.010685756181677183, 'prior_loss_mean': 2.0035349014809375e-06, 'transition_loss_mean': 0.0017828470086290811, 'final_transition_loss': 0.0002091694089661663}",0.2176387794315815,0.6453206390142441,0.010685756181677183,2.0035349014809375e-06,2.9439985752105713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2_latent_audit,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed0,ok,distance_knn,,graph,0.1,,,,,,,,,,0,,,,,,,,,,analysis_out/preflight_runs/nbody_distance_ep5_temporal_calibrated/artifacts/preflight_nbody_distance_gnn_graph_lambda0p1_seed0_latents.pt,0.001762437867000699,3.329998016357422,0.001762437867000699,3.329998016357422,0.0017799825873225927,3.2869834899902344,0.001773199182935059,3.283000946044922,0.07416919618844986,0.026025045663118362,0.11977655813097954,0.11977655813097954,0.10561435099225491,0.1129586766473949,0.18537844927050173,0.18537844927050173,0.1587191193830222,0.1671047133859247,0.3121864343993366,0.3121864343993366,0.2639449746347964,0.26550381956622005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2_latent_audit,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0,ok,distance_knn,,permuted_graph,0.1,,,,,,,,,,0,,,,,,,,,,analysis_out/preflight_runs/nbody_distance_ep5_temporal_calibrated/artifacts/preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0_latents.pt,0.0022494960576295853,3.337707996368408,0.0022480362094938755,3.2095584869384766,0.0022480362094938755,3.2095584869384766,0.0023025465197861195,3.250431776046753,0.10379056632518768,0.02702956646680832,0.14333014306612313,0.12807955214520916,0.12807955214520916,0.13372209446970373,0.19087494479026645,0.17907997337169945,0.17907997337169945,0.18788922601379454,0.314906089566648,0.28636254323646426,0.28636254323646426,0.2777063804678619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,,,distance_knn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-01T02:21:51.718932+00:00,candidate_topology_specific,33.87543632976037,6.93753104907641,21.453347411129965,15.814918280031963,0.8215762451291084,0.5432637073099613,0.5837624054402113,0.6453206390142441,0.33287155628204346,0.19129445729777217,0.20101987523958087,0.2176387794315815,3.329998016357422,3.337707996368408,0.18537844927050173,0.19087494479026645,nbody_distance,nbody_distance,distance_knn,distance_knn,36,188,512,5,2,"[512, 36, 5]",0.1,0.02,0.1,0.0,0.0005,8,0.6853867769241333,0
