stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,graph_D_true_Delta_H_norm,permuted_D_true_Delta_H_norm,graph_R_low_true_Delta_H_4,permuted_R_low_true_Delta_H_4,metadata_dataset,metadata_domain,metadata_topology,metadata_graph_source,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_position_dim,metadata_trajectory_shape,metadata_G,metadata_dt,metadata_softening,metadata_damping,metadata_noise,metadata_graph_k,metadata_sigma,metadata_seed
stage0_raw,nbody_distance,true_graph,lambda_max,1,64,0.46770718642874415,13.113338466940887,2.8953818194134646,0.9999999999999994,0.0014311884718476175,0.0022507128092677797,0.05561847077904848,0.12510107837283183,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,nbody_distance,permuted_graph,lambda_max,8,64,0.3702680025141801,13.113338466940887,2.8953818194134646,0.9999999999999994,0.0014311884718476175,0.02801813040841066,0.09488226420222945,0.21624444204600543,-0.09743918391456408,-0.025767417599142882,-0.03926379342318097,-0.0911433636731736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed0,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.025011903047561648,graph,0.0,0,62c75950dc797364b4fa6001c35c78a613b325d389b734345c5ce51c4b2955fb,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1019021644097273, 'covariance_condition_number': 804673.8934051438, 'projection_gaussianity_statistic': 1.7870671416534867, 'rollout_errors': {'16': 0.33742883894592524, '32': 0.8339293505996466}, 'final_train_loss': 0.0002740594791248441, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0018358111400933316, 'final_transition_loss': 0.0002740594791248441}",0.33742883894592524,0.8339293505996466,0.0002740594791248441,0.0,2.896035671234131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,graph,0.09999999999960021,graph,True,graph,0.1,0.09999999999960021,0.25011903047561646,0.025011903047561648,graph,0.01487384421124075,0,7598d4323cff8eef8578ccd59758ae6a9e0f6994db7cf17b058367353e3b304b,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999960021, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.046833023765564, 'covariance_condition_number': 4266.468584460915, 'projection_gaussianity_statistic': 3.853968027255944, 'rollout_errors': {'16': 0.20683871814981103, '32': 0.6052047777920961}, 'final_train_loss': 0.004768192147215207, 'prior_loss_mean': 0.14873844211300213, 'transition_loss_mean': 0.0017912283025604363, 'final_transition_loss': 0.00021698619336045036}",0.20683871814981103,0.6052047777920961,0.004768192147215207,0.14873844211300213,20.901352405548096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,permuted_graph,0.0194381382082043,permuted_graph,True,graph,0.1,0.0194381382082043,1.2867437601089478,0.025011903047561648,graph,0.009284061088018868,0,dfe61376eaddedc2e50de877d126d03265002a83b80e2715b685d96808c3fe85,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.0194381382082043, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.8540879812651263, 'covariance_condition_number': 12726.624859546693, 'projection_gaussianity_statistic': 3.3652045069873022, 'rollout_errors': {'16': 0.20985241187736392, '32': 0.6198203638195992}, 'final_train_loss': 0.002816490518550078, 'prior_loss_mean': 0.47762090116739275, 'transition_loss_mean': 0.0017737919193071623, 'final_transition_loss': 0.00021454900464353463}",0.20985241187736392,0.6198203638195992,0.002816490518550078,0.47762090116739275,22.80290937423706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0,ok,distance_knn,gnn_node,temporal_smooth,4418.527175790902,temporal_smooth,False,temporal,0.1,4418.527175790902,5.660686838382389e-06,0.025011903047561648,graph,0.01133690009537783,0,5615598358a1d019849b5d6c31841c614be277bd45490d070c78eff758f4a14b,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 4418.527175790902, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.2217608094544037, 'covariance_condition_number': 19192.060232565473, 'projection_gaussianity_statistic': 2.9234975931851146, 'rollout_errors': {'16': 0.2205260619521141, '32': 0.6709561720490456}, 'final_train_loss': 0.005076154911269744, 'prior_loss_mean': 2.5657644831274713e-06, 'transition_loss_mean': 0.0017994394632599626, 'final_transition_loss': 0.00021720801305491477}",0.2205260619521141,0.6709561720490456,0.005076154911269744,2.5657644831274713e-06,3.131756544113159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed1,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.023984527587890627,graph,0.0,1,aa78a589767c79fab5982c4c2413e03e67bd8ba96815a6bf6623182fdb11ff91,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.2704519237477638, 'covariance_condition_number': 207645.89367906196, 'projection_gaussianity_statistic': 1.9976306004240794, 'rollout_errors': {'16': 0.22940513025969267, '32': 0.5796180870383978}, 'final_train_loss': 0.0005535471524732808, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.002085178007837385, 'final_transition_loss': 0.0005535471524732808}",0.22940513025969267,0.5796180870383978,0.0005535471524732808,0.0,2.5547006130218506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed1,ok,distance_knn,gnn_node,graph,0.09999999999958306,graph,True,graph,0.1,0.09999999999958306,0.23984526097774506,0.023984526097774506,graph,0.012031087775974973,1,b70a5de01067f2f2d065fe772c74ad9f3066134b9c08d3665eaa6e9c592a33db,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999958306, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.271882692858147, 'covariance_condition_number': 52977.41069601122, 'projection_gaussianity_statistic': 4.16150944691115, 'rollout_errors': {'16': 0.3750110911205411, '32': 1.8052022866904736}, 'final_train_loss': 0.004285290992508332, 'prior_loss_mean': 0.12031087776025136, 'transition_loss_mean': 0.0020419101987499745, 'final_transition_loss': 0.00023847497262371084}",0.3750110911205411,1.8052022866904736,0.004285290992508332,0.12031087776025136,20.299540519714355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed1,ok,distance_knn,gnn_node,permuted_graph,0.02263000367797512,permuted_graph,True,graph,0.1,0.02263000367797512,1.0598552227020264,0.023984527587890627,graph,0.007390904735967965,1,67e5e8510a24d7be40e439cccabcec2d726dc4c3ee425792a75ba8616dc913aa,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.02263000367797512, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.2935615118797927, 'covariance_condition_number': 19417.473818500137, 'projection_gaussianity_statistic': 3.322532616412458, 'rollout_errors': {'16': 0.38889650348573923, '32': 1.742344468832016}, 'final_train_loss': 0.002874062474196156, 'prior_loss_mean': 0.32659759322802223, 'transition_loss_mean': 0.002032207786881675, 'final_transition_loss': 0.00024654364096932113}",0.38889650348573923,1.742344468832016,0.002874062474196156,0.32659759322802223,21.278208017349243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed1,ok,distance_knn,gnn_node,temporal_smooth,3140.929944195008,temporal_smooth,False,temporal,0.1,3140.929944195008,7.636122063559014e-06,0.023984527587890627,graph,0.007432463340008446,1,1d4b4569306e03948a453a4fc15b9d54c939a826368e3d13a1fd1f20c6f48691,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 1, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 3140.929944195008, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.475489375420736, 'covariance_condition_number': 33861.97128799501, 'projection_gaussianity_statistic': 3.79693435115213, 'rollout_errors': {'16': 0.4113956978544593, '32': 1.832178745418787}, 'final_train_loss': 0.0030146038625389338, 'prior_loss_mean': 2.3663257290233258e-06, 'transition_loss_mean': 0.002026441688455331, 'final_transition_loss': 0.00026523516377589357}",0.4113956978544593,1.832178745418787,0.0030146038625389338,2.3663257290233258e-06,3.135308027267456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed2,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.03192291855812073,graph,0.0,2,85bdcc521b5d0e6333357f49e0fbc63ff4109741deaceb6c2ce7e7928fb4f787,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed2', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 2, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1315432445615536, 'covariance_condition_number': 690015.3615615119, 'projection_gaussianity_statistic': 1.9317992064384677, 'rollout_errors': {'16': 0.3757361681200564, '32': 1.3457069117575884}, 'final_train_loss': 0.0003187320932435493, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0009013756391747544, 'final_transition_loss': 0.0003187320932435493}",0.3757361681200564,1.3457069117575884,0.0003187320932435493,0.0,3.4731414318084717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
