stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,metadata_dataset,metadata_domain,metadata_topology,metadata_graph_source,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_position_dim,metadata_trajectory_shape,metadata_G,metadata_dt,metadata_softening,metadata_damping,metadata_noise,metadata_graph_k,metadata_sigma,metadata_seed
stage0_raw,nbody_distance,true_graph,lambda_max,1,64,0.5842791614523433,16.522491977142614,3.3273670031994826,1.0000000000000009,0.013862410722657975,0.02802187285229898,0.04557919844370123,0.11776661431127322,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,nbody_distance,permuted_graph,lambda_max,8,64,0.46281646804609067,16.522491977142614,3.3273670031994826,1.0000000000000009,0.013862410722657975,0.036892990465649304,0.09593404499979663,0.21533233119382697,-0.1214626934062526,-0.008871117613350323,-0.0503548465560954,-0.09756571688255375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed0,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.05898078083992005,graph,0.0,0,dbb872326c6c86b165398f18430ed4cb1918fa174f3f031e95552d488af0a87a,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.2157435107540526, 'covariance_condition_number': 4331331.5471822955, 'projection_gaussianity_statistic': 1.7010424947278782, 'rollout_errors': {'16': 0.06054604344535619, '32': 0.1561268954537809}, 'final_train_loss': 2.049658178293612e-05, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0005246768820749518, 'final_transition_loss': 2.049658178293612e-05}",0.06054604344535619,0.1561268954537809,2.049658178293612e-05,0.0,9.13651156425476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,graph,0.09999999999983046,graph,True,graph,0.1,0.09999999999983046,0.5898077487945557,0.05898077487945557,graph,0.009445874911406516,0,7a9793173f05cddc0ce64488d0082aa65122d8b079cd6a1ce79b1a10782eed73,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999983046, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.09930801842193, 'covariance_condition_number': 98271.5794456815, 'projection_gaussianity_statistic': 6.701169577557602, 'rollout_errors': {'16': 0.024700464331544936, '32': 0.11346353753469884}, 'final_train_loss': 0.000734391661050419, 'prior_loss_mean': 0.0944587491142253, 'transition_loss_mean': 0.0004779728060346618, 'final_transition_loss': 1.8678193403805683e-06}",0.024700464331544936,0.11346353753469884,0.000734391661050419,0.0944587491142253,146.3522355556488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,permuted_graph,0.0325791414382808,permuted_graph,True,graph,0.1,0.0325791414382808,1.810384750366211,0.05898078083992005,graph,0.007462204056004362,0,c40f7742938c5d46928ab80d0c718322f5b1a148e3201ec97df722903ede0d43,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.0325791414382808, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.429108181187462, 'covariance_condition_number': 47027.82156519912, 'projection_gaussianity_statistic': 5.825600834471892, 'rollout_errors': {'16': 0.024017229676246643, '32': 0.10121997771784663}, 'final_train_loss': 0.0006511208096829554, 'prior_loss_mean': 0.22904851774995524, 'transition_loss_mean': 0.00047332302928566606, 'final_transition_loss': 1.6495188977690607e-06}",0.024017229676246643,0.10121997771784663,0.0006511208096829554,0.22904851774995524,141.36939978599548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0,ok,distance_knn,gnn_node,temporal_smooth,13068.37891141084,temporal_smooth,False,temporal,0.1,13068.37891141084,4.5132428567740135e-06,0.05898078083992005,graph,0.00889597281073577,0,7117c4b1ba887e66fd6a423f2c028ab35468a72d7dcf239fb04059cef0b4ac0b,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 13068.37891141084, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.1022009996099524, 'covariance_condition_number': 33556.4379064718, 'projection_gaussianity_statistic': 7.063597305710257, 'rollout_errors': {'16': 0.019189932907465845, '32': 0.058364721946418285}, 'final_train_loss': 0.0011356631681943934, 'prior_loss_mean': 6.807250440961828e-07, 'transition_loss_mean': 0.000478944909080307, 'final_transition_loss': 1.5154884825581878e-06}",0.019189932907465845,0.058364721946418285,0.0011356631681943934,6.807250440961828e-07,12.125800848007202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed1,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.05711710453033447,graph,0.0,1,b21ddc99a3d0a0d7613905a3165f02524463bed884f1e07b0c634aeabb27e2bb,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.3572759523218993, 'covariance_condition_number': 676261.2308153433, 'projection_gaussianity_statistic': 2.0725758650724946, 'rollout_errors': {'16': 0.04475143935997039, '32': 0.1627062123734504}, 'final_train_loss': 9.425248814901957e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0005799009938982636, 'final_transition_loss': 9.425248814901957e-06}",0.04475143935997039,0.1627062123734504,9.425248814901957e-06,0.0,8.661164283752441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed1,ok,distance_knn,gnn_node,graph,0.09999999999982492,graph,True,graph,0.1,0.09999999999982492,0.5711710453033447,0.05711710453033447,graph,0.007727807715211193,1,ffe72c35e64c8bc6cd51277a0cc44a84f99f0aa6f01fc917d58827fb496429ab,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999982492, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.809792883106867, 'covariance_condition_number': 22712.02942325985, 'projection_gaussianity_statistic': 7.2526055843263935, 'rollout_errors': {'16': 0.025196826783940196, '32': 0.06777661968953907}, 'final_train_loss': 0.0008934837727186581, 'prior_loss_mean': 0.07727807715224723, 'transition_loss_mean': 0.0005631199590065231, 'final_transition_loss': 1.4598758752981666e-06}",0.025196826783940196,0.06777661968953907,0.0008934837727186581,0.07727807715224723,152.11787796020508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed1,ok,distance_knn,gnn_node,permuted_graph,0.03837809989342645,permuted_graph,True,graph,0.1,0.03837809989342645,1.4882733821868896,0.05711710453033447,graph,0.006115009188269207,1,632a0b35e790d8650ce26ae1311087d824b2d85b32052e38fdf67da17584d179,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.03837809989342645, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.0466575493009054, 'covariance_condition_number': 32335.6581218306, 'projection_gaussianity_statistic': 7.094700186104118, 'rollout_errors': {'16': 0.02118123328546062, '32': 0.05444581469055265}, 'final_train_loss': 0.000674086642296364, 'prior_loss_mean': 0.15933590264370043, 'transition_loss_mean': 0.0005633244627460954, 'final_transition_loss': 1.567463414176018e-06}",0.02118123328546062,0.05444581469055265,0.000674086642296364,0.15933590264370043,145.9353802204132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed1,ok,distance_knn,gnn_node,temporal_smooth,9757.62744043974,temporal_smooth,False,temporal,0.1,9757.62744043974,5.853584298165515e-06,0.05711710453033447,graph,0.0058735277423937245,1,3c6820583e33e01579643f2664ea930366aa2cc791152a2ff6a496d6420a85d6,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 9757.62744043974, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.7351401318345685, 'covariance_condition_number': 33319.36870975438, 'projection_gaussianity_statistic': 7.341209255669595, 'rollout_errors': {'16': 0.031244674522895366, '32': 0.08408473315648735}, 'final_train_loss': 0.0007936366212864717, 'prior_loss_mean': 6.019422014465666e-07, 'transition_loss_mean': 0.0005571392934579459, 'final_transition_loss': 2.2975745347745638e-06}",0.031244674522895366,0.08408473315648735,0.0007936366212864717,6.019422014465666e-07,10.687512397766113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
