stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,graph_D_true_Delta_H_norm,permuted_D_true_Delta_H_norm,graph_R_low_true_Delta_H_4,permuted_R_low_true_Delta_H_4,metadata_dataset,metadata_domain,metadata_topology,metadata_graph_source,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_position_dim,metadata_trajectory_shape,metadata_G,metadata_dt,metadata_softening,metadata_damping,metadata_noise,metadata_graph_k,metadata_sigma,metadata_seed
stage0_raw,nbody_distance,true_graph,lambda_max,1,64,0.6568911824529857,18.51522714803436,3.61526312463629,1.0,0.025643997469486396,0.028043100291170978,0.04463065199474826,0.11372910208357517,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,nbody_distance,permuted_graph,lambda_max,8,64,0.5193428871537935,18.51522714803436,3.61526312463629,1.0,0.025643997469486396,0.0368789980373556,0.09586156716229005,0.2154103184697744,-0.1375482952991922,-0.008835897746184623,-0.05123091516754179,-0.10168121638619923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed0,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.08490493893623352,graph,0.0,0,dbb872326c6c86b165398f18430ed4cb1918fa174f3f031e95552d488af0a87a,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1886557663281196, 'covariance_condition_number': 2098490.1045277845, 'projection_gaussianity_statistic': 1.8411482457742463, 'rollout_errors': {'16': 0.05202966451179236, '32': 0.14090180955827236}, 'final_train_loss': 1.5393673190070938e-05, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0005231057400730303, 'final_transition_loss': 1.5393673190070938e-05}",0.05202966451179236,0.14090180955827236,1.5393673190070938e-05,0.0,9.290778875350952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,graph,0.09999999999988222,graph,True,graph,0.1,0.09999999999988222,0.84904944896698,0.084904944896698,graph,0.013802694436146455,0,ef80d70a6e146144d51a38db80f49fd0da817826bea3e2ba7bc3e7545d0ff33f,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999988222, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.236851485573904, 'covariance_condition_number': 87091.45891956995, 'projection_gaussianity_statistic': 6.106894984163633, 'rollout_errors': {'16': 0.0239158202894032, '32': 0.10959086939692497}, 'final_train_loss': 0.0011944365687668324, 'prior_loss_mean': 0.1380269443616271, 'transition_loss_mean': 0.0004754484179348613, 'final_transition_loss': 1.7281892041864921e-06}",0.0239158202894032,0.10959086939692497,0.0011944365687668324,0.1380269443616271,215.86300444602966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0,ok,distance_knn,gnn_node,permuted_graph,0.03797628158977425,permuted_graph,True,graph,0.1,0.03797628158977425,2.235736131668091,0.084904944896698,graph,0.011027516775763555,0,f3fe24b497b88750c50593f6bc68e568c975657067d38e26f7c4506a6e5c197a,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.03797628158977425, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.3545765006323567, 'covariance_condition_number': 59068.31514217855, 'projection_gaussianity_statistic': 5.983464539952969, 'rollout_errors': {'16': 0.026638256502337754, '32': 0.15557846706360579}, 'final_train_loss': 0.0008691940456628799, 'prior_loss_mean': 0.290379055403173, 'transition_loss_mean': 0.00046962964077200317, 'final_transition_loss': 1.9109227575124046e-06}",0.026638256502337754,0.15557846706360579,0.0008691940456628799,0.290379055403173,205.31202244758606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0,ok,distance_knn,gnn_node,temporal_smooth,21474.622945798677,temporal_smooth,False,temporal,0.1,21474.622945798677,3.953732630179729e-06,0.08490493893623352,graph,0.01324922929370183,0,47688f46e2764cd911dec7cc744f6342aed282fc7a9c706e0e5d4ef5e6d55a6e,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 21474.622945798677, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.0321685802618115, 'covariance_condition_number': 13316.562859274754, 'projection_gaussianity_statistic': 7.2752894201370815, 'rollout_errors': {'16': 0.018492413975764066, '32': 0.053049923153594136}, 'final_train_loss': 0.0019471591028074424, 'prior_loss_mean': 6.169714517056946e-07, 'transition_loss_mean': 0.00047878913533926, 'final_transition_loss': 1.7421965215665598e-06}",0.018492413975764066,0.053049923153594136,0.0019471591028074424,6.169714517056946e-07,9.574891090393066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_none_lambda0p1_seed1,ok,distance_knn,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.08305336236953736,graph,0.0,1,b21ddc99a3d0a0d7613905a3165f02524463bed884f1e07b0c634aeabb27e2bb,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_none_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.3159061708734585, 'covariance_condition_number': 717863.352803791, 'projection_gaussianity_statistic': 2.1694275467278645, 'rollout_errors': {'16': 0.04328120389254764, '32': 0.15535025182180107}, 'final_train_loss': 9.662576000361392e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0005792400271881585, 'final_transition_loss': 9.662576000361392e-06}",0.04328120389254764,0.15535025182180107,9.662576000361392e-06,0.0,8.51421570777893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_graph_lambda0p1_seed1,ok,distance_knn,gnn_node,graph,0.09999999999987962,graph,True,graph,0.1,0.09999999999987962,0.8305336236953735,0.08305336236953736,graph,0.011086091470580862,1,f5f327f7becf62ecaa60ed4dc2f5c8252a928de12e7a43da4646506c64283a33,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_graph_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999987962, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.110505077660029, 'covariance_condition_number': 25753.3791441016, 'projection_gaussianity_statistic': 6.532040502468661, 'rollout_errors': {'16': 0.021507419820409268, '32': 0.05896538414526731}, 'final_train_loss': 0.001280476028720538, 'prior_loss_mean': 0.11086091470594207, 'transition_loss_mean': 0.0005666631242244572, 'final_transition_loss': 1.6354509474088748e-06}",0.021507419820409268,0.05896538414526731,0.001280476028720538,0.11086091470594207,200.7441484928131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed1,ok,distance_knn,gnn_node,permuted_graph,0.045446036467847034,permuted_graph,True,graph,0.1,0.045446036467847034,1.8275160789489746,0.08305336236953736,graph,0.009376252664146508,1,3ae2e4f69263104cbf48b8624df365d2e105b94c3d633f367deb49b8e46ecdf2,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.045446036467847034, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.036570033385844, 'covariance_condition_number': 34905.457075399456, 'projection_gaussianity_statistic': 6.535380072158592, 'rollout_errors': {'16': 0.02356098120799288, '32': 0.06963245989754796}, 'final_train_loss': 0.0010421061888337135, 'prior_loss_mean': 0.20631618052721024, 'transition_loss_mean': 0.0005690181071637805, 'final_transition_loss': 1.9203706263700346e-06}",0.02356098120799288,0.06963245989754796,0.0010421061888337135,0.20631618052721024,202.02339053153992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,nbody_distance,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed1,ok,distance_knn,gnn_node,temporal_smooth,15890.006626184415,temporal_smooth,False,temporal,0.1,15890.006626184415,5.2267660066718236e-06,0.08305336236953736,graph,0.008923408478299958,1,7d059c4f52a8f74628754838cfca998144ede456276b2ceb1da37475e8a0ac16,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_nbody_distance_gnn_temporal_smooth_lambda0p1_seed1', 'topology': 'distance_knn', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 15890.006626184415, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.091403755398237, 'covariance_condition_number': 25506.44218235781, 'projection_gaussianity_statistic': 7.7802029369025805, 'rollout_errors': {'16': 0.02224808174651116, '32': 0.06224743358325213}, 'final_train_loss': 0.001317232963629067, 'prior_loss_mean': 5.615736159351551e-07, 'transition_loss_mean': 0.0005614551568726256, 'final_transition_loss': 1.8018885915201583e-06}",0.02224808174651116,0.06224743358325213,0.001317232963629067,5.615736159351551e-07,9.695960521697998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
