stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,nominal_prior_weight,effective_prior_weight,initial_prior_loss,target_regularization_strength,calibration_reference_prior,effective_prior_contribution_mean,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8,created_at,classification,strict_label,diagnostic_failure_mode,recommended_next_experiment,claim_boundary,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,graph_D_true_Delta_H_norm,permuted_D_true_Delta_H_norm,graph_R_low_true_Delta_H_4,permuted_R_low_true_Delta_H_4,metadata_dataset,metadata_domain,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_position_dim,metadata_trajectory_shape,metadata_k,metadata_damping,metadata_dt,metadata_noise,metadata_seed
stage0_raw,spring_mass_lattice,true_graph,lambda_max,1,64,0.5760653767637354,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.00010612428776709354,0.0017113911254907524,0.008509561847613777,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,spring_mass_lattice,permuted_graph,lambda_max,8,64,0.4663697715371337,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.025114533496663594,0.07568907019519962,0.1957008034633998,-0.10969560522660166,-0.0250084092088965,-0.07397767906970887,-0.187191241615786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,spring_mass_lattice,random_graph,lambda_max,8,64,0.38572270670698705,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.03505192284267222,0.10287135798276442,0.20536184546979433,-0.19034267005674832,-0.03494579855490513,-0.10115996685727367,-0.19685228362218055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_none_lambda0p1_seed0,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.043483984470367436,graph,0.0,0,2d3c376c8cd3f5af86e4784e151fb49c40ffb1dccf0507e762459fac0acfd1be,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_none_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1499672663288536, 'covariance_condition_number': 1348381.2352557124, 'projection_gaussianity_statistic': 2.2550805684643027, 'rollout_errors': {'16': 0.03731807880103588, '32': 0.08092070743441582}, 'final_train_loss': 5.66563236740573e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0004831244807519397, 'final_transition_loss': 5.66563236740573e-06}",0.03731807880103588,0.08092070743441582,5.66563236740573e-06,0.0,9.270656108856201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,gnn_node,graph,0.09999999999977005,graph,True,graph,0.1,0.09999999999977005,0.4348398447036743,0.043483984470367436,graph,0.0018996597124064742,0,d048c6114ce22baf8d9727185aa7f3debe1fbd7368fd534c046ec4b53c46951e,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999977005, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.7436534153880148, 'covariance_condition_number': 7415.4625059462505, 'projection_gaussianity_statistic': 6.911182495930774, 'rollout_errors': {'16': 0.02268872008426115, '32': 0.10479685198515654}, 'final_train_loss': 0.00018953129862590382, 'prior_loss_mean': 0.018996597124108425, 'transition_loss_mean': 0.0004692198319636039, 'final_transition_loss': 1.2574307296138916e-06}",0.02268872008426115,0.10479685198515654,0.00018953129862590382,0.018996597124108425,50.04274606704712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,gnn_node,permuted_graph,0.11468138762304302,permuted_graph,True,graph,0.1,0.11468138762304302,0.37917211651802063,0.043483984470367436,graph,0.0018749833621372867,0,0e3d2826b9c9d05267ea74b83d29c42899d3799be012bd98047607ef43405571,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.11468138762304302, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.8545903339606715, 'covariance_condition_number': 6184.392652140225, 'projection_gaussianity_statistic': 9.33732219614804, 'rollout_errors': {'16': 0.02477115608053282, '32': 0.11632789578288794}, 'final_train_loss': 0.00019799250973543772, 'prior_loss_mean': 0.016349500132491812, 'transition_loss_mean': 0.00047045369259232455, 'final_transition_loss': 1.3158183188958599e-06}",0.02477115608053282,0.11632789578288794,0.00019799250973543772,0.016349500132491812,52.492881774902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_temporal_smooth_lambda0p1_seed0,ok,lattice,gnn_node,temporal_smooth,16676.681349309092,temporal_smooth,False,temporal,0.1,16676.681349309092,2.6074712877743877e-06,0.043483984470367436,graph,0.002447361718612734,0,3c2501f9fe8c9d1e8cc54b0321f3b150021236e25372bca764e396cd42682088,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 16676.681349309092, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.991895848171481, 'covariance_condition_number': 27729.11386897945, 'projection_gaussianity_statistic': 9.39186314691859, 'rollout_errors': {'16': 0.022337944712489843, '32': 0.08319101389497519}, 'final_train_loss': 0.00038408431767796475, 'prior_loss_mean': 1.46753521719963e-07, 'transition_loss_mean': 0.00047104646444230035, 'final_transition_loss': 1.5476717862838996e-06}",0.022337944712489843,0.08319101389497519,0.00038408431767796475,1.46753521719963e-07,11.327893733978271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_none_lambda0p1_seed1,ok,lattice,gnn_node,none,0.1,none,False,none,0.1,0.1,0.0,0.013643209636211396,graph,0.0,1,516deabfcc033adf9d93e7b6e4a5fea72a35fe80958ed4908314048f2e457da1,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_none_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.6811203187025416, 'covariance_condition_number': 105563.04482470045, 'projection_gaussianity_statistic': 3.404641282497532, 'rollout_errors': {'16': 0.0363880597287789, '32': 0.09219223586842418}, 'final_train_loss': 4.2320628684440935e-06, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0005965971721252572, 'final_transition_loss': 4.2320628684440935e-06}",0.0363880597287789,0.09219223586842418,4.2320628684440935e-06,0.0,8.26030969619751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed1,ok,lattice,gnn_node,graph,0.09999999999926704,graph,True,graph,0.1,0.09999999999926704,0.13643209636211395,0.013643209636211396,graph,0.000863812500216565,1,487d402e087bf5838fa1af73d61b97ccb79840850eca5cc682cde507ade8aa9c,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.09999999999926704, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.474218706346723, 'covariance_condition_number': 5458.013604709469, 'projection_gaussianity_statistic': 9.452935011720179, 'rollout_errors': {'16': 0.026158841501455754, '32': 0.07489478797651827}, 'final_train_loss': 0.0001230868486648736, 'prior_loss_mean': 0.008638125002228965, 'transition_loss_mean': 0.0005949036651031747, 'final_transition_loss': 3.013562566896629e-06}",0.026158841501455754,0.07489478797651827,0.0001230868486648736,0.008638125002228965,51.15873861312866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed1,ok,lattice,gnn_node,permuted_graph,0.1059952011709371,permuted_graph,True,graph,0.1,0.1059952011709371,0.1287153661251068,0.013643211126327515,graph,0.0008711649234199157,1,41f123853111364215fbc062d31280aba7a961835bc835c45802d164bfe6fe19,069f6c7681f1d5742083609c0e7e8fac72d199cb,"{'run_name': 'preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed1', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 1, 'num_epochs': 20, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1059952011709371, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 4.880771325125594, 'covariance_condition_number': 1843.366356804212, 'projection_gaussianity_statistic': 9.88872592541948, 'rollout_errors': {'16': 0.02690916380379349, '32': 0.07951433164998889}, 'final_train_loss': 0.00011621593148447573, 'prior_loss_mean': 0.008218909099620456, 'transition_loss_mean': 0.0005944357761563879, 'final_transition_loss': 3.1833934978446146e-06}",0.02690916380379349,0.07951433164998889,0.00011621593148447573,0.008218909099620456,54.2922568321228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
