stage,dataset,graph_type,normalization,n_graphs,n_frames,D_dX_norm,trace,frobenius_norm,lambda_max,spectral_gap,R_low_dX_2,R_low_dX_4,R_low_dX_8,gap_D_dX_norm_control_minus_true,gap_R_low_dX_2_true_minus_control,gap_R_low_dX_4_true_minus_control,gap_R_low_dX_8_true_minus_control,schema_version,run_name,status,topology,encoder,prior,prior_weight,prior_type,graph_used_for_prior,prior_family,seed,config_hash,git_commit,config,diagnostics,H16,H32,final_train_loss,prior_loss_mean,wall_time_sec,latent_artifact_path,D_true_Delta_H,D_true_Delta_H_norm,D_prior_Delta_H,D_prior_Delta_H_norm,D_perm_Delta_H,D_perm_Delta_H_norm,D_rand_Delta_H,D_rand_Delta_H_norm,D_true_H,D_true_H_norm,R_low_true_Delta_H_2,R_low_prior_Delta_H_2,R_low_perm_Delta_H_2,R_low_rand_Delta_H_2,R_low_true_Delta_H_4,R_low_prior_Delta_H_4,R_low_perm_Delta_H_4,R_low_rand_Delta_H_4,R_low_true_Delta_H_8,R_low_prior_Delta_H_8,R_low_perm_Delta_H_8,R_low_rand_Delta_H_8,created_at,classification,graph_gain_h32_pct,true_vs_permuted_gain_h32_pct,temporal_gain_h32_pct,graph_vs_temporal_gain_h32_pct,none_h32,graph_h32,permuted_h32,temporal_smooth_h32,none_h16,graph_h16,permuted_h16,temporal_smooth_h16,graph_D_true_Delta_H_norm,permuted_D_true_Delta_H_norm,graph_R_low_true_Delta_H_4,permuted_R_low_true_Delta_H_4,metadata_dataset,metadata_domain,metadata_topology,metadata_n_nodes,metadata_n_edges,metadata_n_frames,metadata_n_dim,metadata_position_dim,metadata_trajectory_shape,metadata_k,metadata_damping,metadata_dt,metadata_noise,metadata_seed
stage0_raw,spring_mass_lattice,true_graph,lambda_max,1,64,0.5760653767637354,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.00010612428776709354,0.0017113911254907524,0.008509561847613777,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,spring_mass_lattice,permuted_graph,lambda_max,8,64,0.4663697715371337,16.076951545867367,3.1017361498170306,1.0000000000000004,0.03589838486224536,0.025114533496663594,0.07568907019519962,0.1957008034633998,-0.10969560522660166,-0.0250084092088965,-0.07397767906970887,-0.187191241615786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage0_raw,spring_mass_lattice,random_graph,lambda_max,8,64,0.38572270670698705,13.339782681104516,2.7726832972036632,1.0,0.005311239866953886,0.03505192284267222,0.10287135798276442,0.20536184546979433,-0.19034267005674832,-0.03494579855490513,-0.10115996685727367,-0.19685228362218055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_none_lambda0p1_seed0,ok,lattice,gnn_node,none,0.1,none,False,none,0,56b4c916df25978a50fb9ae3fcb2d50a3597d21304eebec5db080ecf7b7838c6,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_spring_mass_lattice_gnn_none_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'none', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.132758606955103, 'covariance_condition_number': 903754.9381564434, 'projection_gaussianity_statistic': 2.3638759240384557, 'rollout_errors': {'16': 0.22989932959899306, '32': 0.6863950099796057}, 'final_train_loss': 0.00023123752907849848, 'prior_loss_mean': 0.0, 'transition_loss_mean': 0.0018055204243864864, 'final_transition_loss': 0.00023123752907849848}",0.22989932959899306,0.6863950099796057,0.00023123752907849848,0.0,3.8220176696777344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,gnn_node,graph,0.1,graph,True,graph,0,feba24718d511dc93b25c601dbbd2ec977238c907ca4450522c19eae61ae0e53,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 2.8132006598074724, 'covariance_condition_number': 10825.785357427063, 'projection_gaussianity_statistic': 4.393855257427928, 'rollout_errors': {'16': 0.19366501411423087, '32': 0.5739877913147211}, 'final_train_loss': 0.0019269750143090885, 'prior_loss_mean': 0.06152266636490822, 'transition_loss_mean': 0.0017615575382175545, 'final_transition_loss': 0.000211879708028088}",0.19366501411423087,0.5739877913147211,0.0019269750143090885,0.06152266636490822,15.700732707977295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,gnn_node,permuted_graph,0.1,permuted_graph,True,graph,0,357a9fe9c8631f61b0e69f20f440c339b854105d2565bd6649409e38d1ecfea0,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'permuted_graph', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 3.9267903890356006, 'covariance_condition_number': 2371.4559379957554, 'projection_gaussianity_statistic': 6.251407723426891, 'rollout_errors': {'16': 0.19770938716828823, '32': 0.5841098763048649}, 'final_train_loss': 0.0018119659507647157, 'prior_loss_mean': 0.05252322213103374, 'transition_loss_mean': 0.0017668849943826596, 'final_transition_loss': 0.00021018318754310408}",0.19770938716828823,0.5841098763048649,0.0018119659507647157,0.05252322213103374,15.501130104064941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1_mini_train,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_temporal_smooth_lambda0p1_seed0,ok,lattice,gnn_node,temporal_smooth,0.1,temporal_smooth,False,temporal,0,bafdf897b54d07f09c7a53654bb2fb100dae7035a91e0c89701cdf1d48869b30,2da2cff1cb76544a30ed38d4cd86a33a8cc7a06f,"{'run_name': 'preflight_spring_mass_lattice_gnn_temporal_smooth_lambda0p1_seed0', 'topology': 'lattice', 'encoder': 'gnn_node', 'prior': 'temporal_smooth', 'seed': 0, 'num_epochs': 5, 'n_transitions': 96, 'eval_n_transitions': 32, 'stride': 5, 'eval_stride': 10, 'horizon': 1, 'eval_horizons': (16, 32), 'latent_dim': 16, 'node_dim': 16, 'hidden_dim': 64, 'transition_hidden_dim': 64, 'batch_size': 32, 'lr': 0.001, 'prior_weight': 0.1, 'sigreg_num_slices': 8, 'device': 'auto', 'data_root': '/home/user/projects/causalworld/data/ho_raw'}","{'effective_rank': 1.1327753609017956, 'covariance_condition_number': 902914.5474375447, 'projection_gaussianity_statistic': 2.363733811989332, 'rollout_errors': {'16': 0.22989715030416846, '32': 0.6863882467150688}, 'final_train_loss': 0.00023170208927088728, 'prior_loss_mean': 2.783260750523671e-06, 'transition_loss_mean': 0.0018055219135324782, 'final_transition_loss': 0.00023123701006018868}",0.22989715030416846,0.6863882467150688,0.00023170208927088728,2.783260750523671e-06,3.184845447540283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2_latent_audit,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed0,ok,lattice,,graph,0.1,,,,0,,,,,,,,,,analysis_out/preflight_runs/spring_mass_lattice_ep5_temporal/artifacts/preflight_spring_mass_lattice_gnn_graph_lambda0p1_seed0_latents.pt,0.0003725486749317497,3.1906206607818604,0.0003725486749317497,3.1906206607818604,0.0003726916911546141,3.1436944007873535,0.0003740565152838826,3.1472034454345703,0.014540979638695717,0.002594546414911747,0.13177327578887343,0.13177327578887343,0.11107791087124497,0.1057288569281809,0.19920020154677331,0.19920020154677331,0.1610894117038697,0.16247367369942367,0.3087933319620788,0.3087933319620788,0.2672982970252633,0.2674084398895502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage2_latent_audit,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed0,ok,lattice,,permuted_graph,0.1,,,,0,,,,,,,,,,analysis_out/preflight_runs/spring_mass_lattice_ep5_temporal/artifacts/preflight_spring_mass_lattice_gnn_permuted_graph_lambda0p1_seed0_latents.pt,0.00039205924258567393,3.4512124061584473,0.0003725196002051234,3.2283401489257812,0.0003725196002051234,3.2283401489257812,0.0003747527953237295,3.2411983013153076,0.013255303725600243,0.0020064341370016336,0.10378806735388935,0.08995688846334815,0.08995688846334815,0.0847419774509035,0.15988842910155654,0.14373312797397375,0.14373312797397375,0.14172709034755826,0.2589511757250875,0.2515275632031262,0.2515275632031262,0.2521783416159451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,spring_mass_lattice,,,,,,,,,,,,,,,,,graph_prior_preflight_v2,,,lattice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-01T02:00:23.320672+00:00,topology_aligned_latent_smoothing,16.376462099895573,1.732907694383984,0.0009853312507412542,16.375638122924766,0.6863950099796057,0.5739877913147211,0.5841098763048649,0.6863882467150688,0.22989932959899306,0.19366501411423087,0.19770938716828823,0.22989715030416846,3.1906206607818604,3.4512124061584473,0.19920020154677331,0.15988842910155654,spring_mass_lattice,spring_mass,lattice,36,60,512,2,1,"[512, 36, 2]",1.0,0.05,0.05,0.001,0
