level,molecule,encoder,prior,prior_weight,seed,h1,h16,h16_over_h1,unstable,reasons
aggregate,aspirin,flat,euclidean,0.001,,0.07933458684,0.1809946463,2.281409074,false,
aggregate,aspirin,flat,euclidean,0.01,,0.1045917055,0.1725369454,1.649623597,false,
aggregate,aspirin,flat,euclidean,0.1,,0.1592057673,0.2382917923,1.496753518,false,
aggregate,aspirin,flat,euclidean,1.0,,0.2104365346,0.3215721937,1.528119603,false,
aggregate,aspirin,flat,none,0.001,,0.1324307558,0.4171957141,3.150293235,false,
aggregate,aspirin,flat,none,0.01,,0.1324307558,0.4171957141,3.150293235,false,
aggregate,aspirin,flat,none,0.1,,0.1324307558,0.4171957141,3.150293235,false,
aggregate,aspirin,flat,none,1.0,,0.1324307558,0.4171957141,3.150293235,false,
aggregate,aspirin,flat,spectral,0.001,,0.06662473029,0.2599633544,3.901904792,false,
aggregate,aspirin,flat,spectral,0.01,,0.04199693666,1.908429248,45.44210601,true,H16/H1 > 20; H16 > 1
aggregate,aspirin,flat,spectral,0.1,,0.03484405912,0.1300585177,3.732588022,false,
aggregate,aspirin,flat,spectral,1.0,,0.03482212888,0.1443177964,4.144427726,false,
seed,aspirin,flat,euclidean,0.001,0,0.07361240866,0.2920906562,3.967954066,false,
seed,aspirin,flat,euclidean,0.001,1,0.06179435759,0.1020283654,1.65109517,false,
seed,aspirin,flat,euclidean,0.001,2,0.1025969943,0.1488649174,1.450967628,false,
seed,aspirin,flat,euclidean,0.01,0,0.1056572807,0.1504233412,1.423691204,false,
seed,aspirin,flat,euclidean,0.01,1,0.1124019599,0.2404439366,2.13914363,false,
seed,aspirin,flat,euclidean,0.01,2,0.09571587583,0.1267435583,1.324164432,false,
seed,aspirin,flat,euclidean,0.1,0,0.1700288653,0.2638854346,1.552003739,false,
seed,aspirin,flat,euclidean,0.1,1,0.1430333785,0.2074053479,1.450048583,false,
seed,aspirin,flat,euclidean,0.1,2,0.1645550579,0.2435845944,1.480261971,false,
seed,aspirin,flat,euclidean,1.0,0,0.2184275732,0.2728729808,1.24926069,false,
seed,aspirin,flat,euclidean,1.0,1,0.1968966417,0.4617761497,2.345271843,false,
seed,aspirin,flat,euclidean,1.0,2,0.2159853889,0.2300674504,1.06519914,false,
seed,aspirin,flat,none,0.001,0,0.07350515499,0.1650391161,2.245272677,false,
seed,aspirin,flat,none,0.001,1,0.2108945481,0.6500833353,3.082504224,false,
seed,aspirin,flat,none,0.001,2,0.1128925643,0.4364646907,3.866195203,false,
seed,aspirin,flat,none,0.01,0,0.07350515499,0.1650391161,2.245272677,false,
seed,aspirin,flat,none,0.01,1,0.2108945481,0.6500833353,3.082504224,false,
seed,aspirin,flat,none,0.01,2,0.1128925643,0.4364646907,3.866195203,false,
seed,aspirin,flat,none,0.1,0,0.07350515499,0.1650391161,2.245272677,false,
seed,aspirin,flat,none,0.1,1,0.2108945481,0.6500833353,3.082504224,false,
seed,aspirin,flat,none,0.1,2,0.1128925643,0.4364646907,3.866195203,false,
seed,aspirin,flat,none,1.0,0,0.07350515499,0.1650391161,2.245272677,false,
seed,aspirin,flat,none,1.0,1,0.2108945481,0.6500833353,3.082504224,false,
seed,aspirin,flat,none,1.0,2,0.1128925643,0.4364646907,3.866195203,false,
seed,aspirin,flat,spectral,0.001,0,0.03058417785,0.04056369847,1.326296841,false,
seed,aspirin,flat,spectral,0.001,1,0.07500466651,0.08689540614,1.158533331,false,
seed,aspirin,flat,spectral,0.001,2,0.09428534651,0.6524309584,6.919749278,false,
seed,aspirin,flat,spectral,0.01,0,0.03308363,0.1126812249,3.405951068,false,
seed,aspirin,flat,spectral,0.01,1,0.04773703327,3.274033636,68.58477396,true,H16/H1 > 20; H16 > 1
seed,aspirin,flat,spectral,0.01,2,0.04517014669,2.338572881,51.77253236,true,H16/H1 > 20; H16 > 1
seed,aspirin,flat,spectral,0.1,0,0.03337202381,0.06247591466,1.872104461,false,
seed,aspirin,flat,spectral,0.1,1,0.03078062403,0.2420923439,7.865088884,false,
seed,aspirin,flat,spectral,0.1,2,0.04037952951,0.08560729451,2.120066666,false,
seed,aspirin,flat,spectral,1.0,0,0.03070559335,0.06866807671,2.236337723,false,
seed,aspirin,flat,spectral,1.0,1,0.03092513339,0.224693734,7.265732087,false,
seed,aspirin,flat,spectral,1.0,2,0.04283565991,0.1395915785,3.258770351,false,
