level,encoder,prior,seed,h1,h16,h16_over_h1,unstable,reasons
aggregate,flat,none,,0.003,0.074,21.9,true,H16/H1 > 20
aggregate,flat,euclidean,,0.008,0.065,8.5,false,
aggregate,flat,spectral,,0.007,18.3,2787.9,true,H16/H1 > 20; H16 > 1
seed,flat,euclidean,0,0.006,0.044,8.1,false,
seed,flat,euclidean,1,0.006,0.056,9.2,false,
seed,flat,euclidean,2,0.008,0.114,13.5,false,
seed,flat,euclidean,3,0.009,0.021,2.2,false,
seed,flat,euclidean,4,0.014,0.037,2.7,false,
seed,flat,euclidean,5,0.004,0.044,10.5,false,
seed,flat,euclidean,6,0.005,0.025,4.9,false,
seed,flat,euclidean,7,0.015,0.068,4.7,false,
seed,flat,euclidean,8,0.004,0.102,28.8,true,H16/H1 > 20
seed,flat,euclidean,9,0.007,0.144,21.2,true,H16/H1 > 20
seed,flat,none,0,0.002,0.049,27.2,true,H16/H1 > 20
seed,flat,none,1,0.006,0.170,26.7,true,H16/H1 > 20
seed,flat,none,2,0.003,0.038,12.5,false,
seed,flat,none,3,0.003,0.091,27.9,true,H16/H1 > 20
seed,flat,none,4,0.001,0.024,20.7,true,H16/H1 > 20
seed,flat,none,5,0.005,0.126,23.2,true,H16/H1 > 20
seed,flat,none,6,0.003,0.041,14.8,false,
seed,flat,none,7,0.003,0.078,27.8,true,H16/H1 > 20
seed,flat,none,8,0.002,0.043,20.2,true,H16/H1 > 20
seed,flat,none,9,0.005,0.081,15.9,false,
seed,flat,spectral,0,0.003,0.065,21.8,true,H16/H1 > 20
seed,flat,spectral,1,0.004,3.486,946.3,true,H16/H1 > 20; H16 > 1
seed,flat,spectral,2,0.003,144,48936.6,true,H16/H1 > 20; H16 > 1
seed,flat,spectral,3,0.003,0.159,48.9,true,H16/H1 > 20
seed,flat,spectral,4,0.002,0.112,45.3,true,H16/H1 > 20
seed,flat,spectral,5,0.004,0.062,16.5,false,
seed,flat,spectral,6,0.017,0.148,8.6,false,
seed,flat,spectral,7,0.020,0.069,3.5,false,
seed,flat,spectral,8,0.004,35.2,8828.5,true,H16/H1 > 20; H16 > 1
seed,flat,spectral,9,0.005,0.034,6.2,false,
