nohup: ignoring input
device=cuda (NVIDIA GeForce RTX 4090)
Resume: 21/21 runs pending
output: /workspace/causalworld/iso17_mechanism.json

=== Starting iso17|flat|none|seed=0 (1/21) ===
[iso17_default|flat|none|seed=0] epoch   1/50 loss=0.3047 H8_eval=0.5945
[iso17_default|flat|none|seed=0] epoch   5/50 loss=0.0016 H8_eval=0.1061
[iso17_default|flat|none|seed=0] epoch  10/50 loss=0.0010 H8_eval=0.0292
[iso17_default|flat|none|seed=0] epoch  15/50 loss=0.0012 H8_eval=0.0359
[iso17_default|flat|none|seed=0] epoch  20/50 loss=0.0009 H8_eval=0.0408
[iso17_default|flat|none|seed=0] epoch  25/50 loss=0.0009 H8_eval=0.0569
[iso17_default|flat|none|seed=0] epoch  30/50 loss=0.0009 H8_eval=0.0609
[iso17_default|flat|none|seed=0] epoch  35/50 loss=0.0009 H8_eval=0.0323
[iso17_default|flat|none|seed=0] epoch  40/50 loss=0.0008 H8_eval=0.0313
[iso17_default|flat|none|seed=0] epoch  45/50 loss=0.0009 H8_eval=0.0432
[iso17_default|flat|none|seed=0] epoch  50/50 loss=0.0007 H8_eval=0.0426
=== Finished iso17|flat|none|seed=0 | H1=0.0075 H8=0.0411 H16=0.1059 | r_eff=16.00 | wall=31.8s ===
  -> saved partial; avg=32s/run; ETA=11min

=== Starting iso17|flat|none|seed=1 (2/21) ===
[iso17_default|flat|none|seed=1] epoch   1/50 loss=0.2243 H8_eval=0.7951
[iso17_default|flat|none|seed=1] epoch   5/50 loss=0.0026 H8_eval=0.1870
[iso17_default|flat|none|seed=1] epoch  10/50 loss=0.0018 H8_eval=0.0116
[iso17_default|flat|none|seed=1] epoch  15/50 loss=0.0017 H8_eval=0.0008
[iso17_default|flat|none|seed=1] epoch  20/50 loss=0.0022 H8_eval=0.0396
[iso17_default|flat|none|seed=1] epoch  25/50 loss=0.0016 H8_eval=0.0006
[iso17_default|flat|none|seed=1] epoch  30/50 loss=0.0015 H8_eval=0.0003
[iso17_default|flat|none|seed=1] epoch  35/50 loss=0.0014 H8_eval=0.0001
[iso17_default|flat|none|seed=1] epoch  40/50 loss=0.0035 H8_eval=0.0742
[iso17_default|flat|none|seed=1] epoch  45/50 loss=0.0013 H8_eval=0.0039
[iso17_default|flat|none|seed=1] epoch  50/50 loss=0.0012 H8_eval=0.0004
=== Finished iso17|flat|none|seed=1 | H1=0.0001 H8=0.0004 H16=0.0010 | r_eff=16.00 | wall=31.5s ===
  -> saved partial; avg=32s/run; ETA=10min

=== Starting iso17|flat|none|seed=2 (3/21) ===
[iso17_default|flat|none|seed=2] epoch   1/50 loss=0.4541 H8_eval=0.6292
[iso17_default|flat|none|seed=2] epoch   5/50 loss=0.0011 H8_eval=0.1425
[iso17_default|flat|none|seed=2] epoch  10/50 loss=0.0007 H8_eval=0.0194
[iso17_default|flat|none|seed=2] epoch  15/50 loss=0.0007 H8_eval=0.0213
[iso17_default|flat|none|seed=2] epoch  20/50 loss=0.0007 H8_eval=0.0251
[iso17_default|flat|none|seed=2] epoch  25/50 loss=0.0006 H8_eval=0.0186
[iso17_default|flat|none|seed=2] epoch  30/50 loss=0.0006 H8_eval=0.0229
[iso17_default|flat|none|seed=2] epoch  35/50 loss=0.0006 H8_eval=0.0316
[iso17_default|flat|none|seed=2] epoch  40/50 loss=0.0005 H8_eval=0.0061
[iso17_default|flat|none|seed=2] epoch  45/50 loss=0.0005 H8_eval=0.0125
[iso17_default|flat|none|seed=2] epoch  50/50 loss=0.0004 H8_eval=0.0017
=== Finished iso17|flat|none|seed=2 | H1=0.0002 H8=0.0017 H16=0.0043 | r_eff=16.00 | wall=28.9s ===
  -> saved partial; avg=31s/run; ETA=9min

=== Starting iso17|flat|variance|seed=0 (4/21) ===
[iso17_default|flat|variance|seed=0] epoch   1/50 loss=0.4027 H8_eval=0.5945
[iso17_default|flat|variance|seed=0] epoch   5/50 loss=0.0996 H8_eval=0.1061
[iso17_default|flat|variance|seed=0] epoch  10/50 loss=0.0990 H8_eval=0.0292
[iso17_default|flat|variance|seed=0] epoch  15/50 loss=0.0992 H8_eval=0.0355
[iso17_default|flat|variance|seed=0] epoch  20/50 loss=0.0989 H8_eval=0.0406
[iso17_default|flat|variance|seed=0] epoch  25/50 loss=0.0989 H8_eval=0.0559
[iso17_default|flat|variance|seed=0] epoch  30/50 loss=0.0989 H8_eval=0.0610
[iso17_default|flat|variance|seed=0] epoch  35/50 loss=0.0988 H8_eval=0.0244
[iso17_default|flat|variance|seed=0] epoch  40/50 loss=0.0989 H8_eval=0.0299
[iso17_default|flat|variance|seed=0] epoch  45/50 loss=0.0991 H8_eval=0.0459
[iso17_default|flat|variance|seed=0] epoch  50/50 loss=0.0988 H8_eval=0.0462
=== Finished iso17|flat|variance|seed=0 | H1=0.0078 H8=0.0448 H16=0.1160 | r_eff=16.00 | wall=32.9s ===
  -> saved partial; avg=31s/run; ETA=9min

=== Starting iso17|flat|variance|seed=1 (5/21) ===
[iso17_default|flat|variance|seed=1] epoch   1/50 loss=0.3223 H8_eval=0.7951
[iso17_default|flat|variance|seed=1] epoch   5/50 loss=0.1006 H8_eval=0.1870
[iso17_default|flat|variance|seed=1] epoch  10/50 loss=0.0998 H8_eval=0.0116
[iso17_default|flat|variance|seed=1] epoch  15/50 loss=0.0997 H8_eval=0.0008
[iso17_default|flat|variance|seed=1] epoch  20/50 loss=0.1002 H8_eval=0.0374
[iso17_default|flat|variance|seed=1] epoch  25/50 loss=0.0996 H8_eval=0.0016
[iso17_default|flat|variance|seed=1] epoch  30/50 loss=0.0995 H8_eval=0.0002
[iso17_default|flat|variance|seed=1] epoch  35/50 loss=0.0994 H8_eval=0.0001
[iso17_default|flat|variance|seed=1] epoch  40/50 loss=0.1004 H8_eval=0.0611
[iso17_default|flat|variance|seed=1] epoch  45/50 loss=0.0993 H8_eval=0.0015
[iso17_default|flat|variance|seed=1] epoch  50/50 loss=0.0993 H8_eval=0.0004
=== Finished iso17|flat|variance|seed=1 | H1=0.0000 H8=0.0004 H16=0.0009 | r_eff=16.00 | wall=29.9s ===
  -> saved partial; avg=31s/run; ETA=8min

=== Starting iso17|flat|variance|seed=2 (6/21) ===
[iso17_default|flat|variance|seed=2] epoch   1/50 loss=0.5521 H8_eval=0.6292
[iso17_default|flat|variance|seed=2] epoch   5/50 loss=0.0991 H8_eval=0.1425
[iso17_default|flat|variance|seed=2] epoch  10/50 loss=0.0987 H8_eval=0.0194
[iso17_default|flat|variance|seed=2] epoch  15/50 loss=0.0987 H8_eval=0.0216
[iso17_default|flat|variance|seed=2] epoch  20/50 loss=0.0991 H8_eval=0.0562
[iso17_default|flat|variance|seed=2] epoch  25/50 loss=0.0985 H8_eval=0.0063
[iso17_default|flat|variance|seed=2] epoch  30/50 loss=0.0990 H8_eval=0.0266
[iso17_default|flat|variance|seed=2] epoch  35/50 loss=0.0985 H8_eval=0.0041
[iso17_default|flat|variance|seed=2] epoch  40/50 loss=0.0985 H8_eval=0.0005
[iso17_default|flat|variance|seed=2] epoch  45/50 loss=0.1000 H8_eval=0.0652
[iso17_default|flat|variance|seed=2] epoch  50/50 loss=0.0985 H8_eval=0.0087
=== Finished iso17|flat|variance|seed=2 | H1=0.0010 H8=0.0087 H16=0.0233 | r_eff=16.00 | wall=31.7s ===
  -> saved partial; avg=31s/run; ETA=8min

=== Starting iso17|flat|covariance|seed=0 (7/21) ===
[iso17_default|flat|euclidean|seed=0] epoch   1/50 loss=0.7047 H8_eval=0.5945
[iso17_default|flat|euclidean|seed=0] epoch   5/50 loss=0.4016 H8_eval=0.1061
[iso17_default|flat|euclidean|seed=0] epoch  10/50 loss=0.4010 H8_eval=0.0292
[iso17_default|flat|euclidean|seed=0] epoch  15/50 loss=0.4012 H8_eval=0.0359
[iso17_default|flat|euclidean|seed=0] epoch  20/50 loss=0.4009 H8_eval=0.0408
[iso17_default|flat|euclidean|seed=0] epoch  25/50 loss=0.4009 H8_eval=0.0569
[iso17_default|flat|euclidean|seed=0] epoch  30/50 loss=0.4009 H8_eval=0.0609
[iso17_default|flat|euclidean|seed=0] epoch  35/50 loss=0.4009 H8_eval=0.0323
[iso17_default|flat|euclidean|seed=0] epoch  40/50 loss=0.4008 H8_eval=0.0313
[iso17_default|flat|euclidean|seed=0] epoch  45/50 loss=0.4009 H8_eval=0.0432
[iso17_default|flat|euclidean|seed=0] epoch  50/50 loss=0.4007 H8_eval=0.0426
=== Finished iso17|flat|covariance|seed=0 | H1=0.0075 H8=0.0411 H16=0.1059 | r_eff=16.00 | wall=31.3s ===
  -> saved partial; avg=31s/run; ETA=7min

=== Starting iso17|flat|covariance|seed=1 (8/21) ===
[iso17_default|flat|euclidean|seed=1] epoch   1/50 loss=0.6243 H8_eval=0.7951
[iso17_default|flat|euclidean|seed=1] epoch   5/50 loss=0.4026 H8_eval=0.1870
[iso17_default|flat|euclidean|seed=1] epoch  10/50 loss=0.4018 H8_eval=0.0116
[iso17_default|flat|euclidean|seed=1] epoch  15/50 loss=0.4017 H8_eval=0.0008
[iso17_default|flat|euclidean|seed=1] epoch  20/50 loss=0.4022 H8_eval=0.0396
[iso17_default|flat|euclidean|seed=1] epoch  25/50 loss=0.4016 H8_eval=0.0006
[iso17_default|flat|euclidean|seed=1] epoch  30/50 loss=0.4015 H8_eval=0.0003
[iso17_default|flat|euclidean|seed=1] epoch  35/50 loss=0.4014 H8_eval=0.0001
[iso17_default|flat|euclidean|seed=1] epoch  40/50 loss=0.4035 H8_eval=0.0742
[iso17_default|flat|euclidean|seed=1] epoch  45/50 loss=0.4013 H8_eval=0.0039
